,PO_dominant_topic,PO_hashtags,Impressions
1462,Lifestyle_Health,#shootingrange,14.893617021276595
1463,Lifestyle_Health,#firsttimeshooting,14.893617021276595
1464,Lifestyle_Health,#pewpew,14.893617021276595
1724,Lifestyle_Health,#kale,2.4744641058840453
1725,Lifestyle_Health,#farmer,2.4744641058840453
1726,Lifestyle_Health,#farmersmarket,2.4744641058840453
1727,Lifestyle_Health,#veg,2.4744641058840453
1728,Lifestyle_Health,#brassica,2.4744641058840453
1729,Lifestyle_Health,#nottinghillfarnersmarket,2.4744641058840453
1730,Lifestyle_Health,#vegetables,2.4744641058840453
1731,Lifestyle_Health,#delicious,2.4744641058840453
1732,Lifestyle_Health,#cosmicveg,2.4744641058840453
1733,Lifestyle_Health,#diadascrianças,3.0804998546934033
1734,Lifestyle_Health,#nossasenhoraaparecida,3.0804998546934033
1735,Lifestyle_Health,#caslucrianças2014,3.0804998546934033
1736,Lifestyle_Health,#fazendoobem,3.0804998546934033
1737,Lifestyle_Health,#adammotorwork,6.896551724137931
1738,Lifestyle_Health,#duniaduaroda,6.896551724137931
1739,Lifestyle_Health,#kapcaijahat,6.896551724137931
1775,Lifestyle_Health,#customerAlwaysRight,2.1026072329688814
1776,Lifestyle_Health,#tutupAwal,2.1026072329688814
2271,Lifestyle_Health,#goodvibes,9.67982129560685
2272,Lifestyle_Health,#maketodayawesome,9.67982129560685
2273,Lifestyle_Health,#classof2019,8.090614886731391
2274,Lifestyle_Health,#imnext2020,8.090614886731391
3499,Lifestyle_Health,#upstatenewyork,3.973013493253373
3500,Lifestyle_Health,#enjoyrhinebeck,3.973013493253373
3501,Lifestyle_Health,#quecalor,10.818713450292398
3502,Lifestyle_Health,#slides,10.818713450292398
3503,Lifestyle_Health,#brotherlove,10.818713450292398
3504,Lifestyle_Health,#mixkids,10.818713450292398
3505,Lifestyle_Health,#irishperuviankids,10.818713450292398
3506,Lifestyle_Health,#swingswingswing,10.818713450292398
3507,Lifestyle_Health,#lovemyboys,10.818713450292398
3508,Lifestyle_Health,#myboysaremyworld,10.818713450292398
3509,Lifestyle_Health,#rouleandco,1.8867924528301887
3510,Lifestyle_Health,#wiredcollection,1.8867924528301887
3511,Lifestyle_Health,#deconstructeddeco,1.8867924528301887
3516,Lifestyle_Health,#slabsides,4.197901049475262
3517,Lifestyle_Health,#yummy,4.197901049475262
3518,Lifestyle_Health,#Repost,0.2591589115325716
3519,Lifestyle_Health,#CicloRosa2018,0.2591589115325716
3520,Lifestyle_Health,#CinematecaDistrital,0.2591589115325716
3521,Lifestyle_Health,#ElCineTeTransforma,0.2591589115325716
3522,Lifestyle_Health,#ViveLaCinemateca,0.2591589115325716
3523,Lifestyle_Health,#rouleandco,2.859669811320755
3524,Lifestyle_Health,#wiredcollection,2.859669811320755
3525,Lifestyle_Health,#deconstructeddeco,2.859669811320755
6593,Lifestyle_Health,#ad,8.019581477435079
6594,Lifestyle_Health,#queengotham,8.019581477435079
6595,Lifestyle_Health,#greenqueenbydeborahlindquist,8.019581477435079
6596,Lifestyle_Health,#sustainable,8.019581477435079
6597,Lifestyle_Health,#ecofriendly,8.019581477435079
6598,Lifestyle_Health,#plantbased,8.019581477435079
6599,Lifestyle_Health,#vegansofig,8.019581477435079
6600,Lifestyle_Health,#veganfoodshare,8.019581477435079
6601,Lifestyle_Health,#eco,8.019581477435079
6602,Lifestyle_Health,#sustainability,8.019581477435079
6603,Lifestyle_Health,#sustainablefashion,8.019581477435079
6604,Lifestyle_Health,#organic,8.019581477435079
6605,Lifestyle_Health,#vegetarian,8.019581477435079
6606,Lifestyle_Health,#ecofashion,8.019581477435079
6607,Lifestyle_Health,#govegan,8.019581477435079
6608,Lifestyle_Health,#crueltyfree,8.019581477435079
6609,Lifestyle_Health,#recycle,8.019581477435079
6610,Lifestyle_Health,#sustainableliving,8.019581477435079
6611,Lifestyle_Health,#veganism,8.019581477435079
6612,Lifestyle_Health,#reuse,8.019581477435079
6613,Lifestyle_Health,#ethicalfashion,8.019581477435079
6614,Lifestyle_Health,#ethical,8.019581477435079
6615,Lifestyle_Health,#upcycle,8.019581477435079
6616,Lifestyle_Health,#slowfashion,8.019581477435079
6617,Lifestyle_Health,#veganfoodporn,8.019581477435079
6618,Lifestyle_Health,#vegansofinstagram,8.019581477435079
6619,Lifestyle_Health,#sustainabledesign,8.019581477435079
6620,Lifestyle_Health,#recycled,8.019581477435079
6621,Lifestyle_Health,#zerowaste,8.019581477435079
6622,Lifestyle_Health,#veganlife,8.019581477435079
6623,Lifestyle_Health,#ad,8.09942011933776
6624,Lifestyle_Health,#queengotham,8.09942011933776
6625,Lifestyle_Health,#greenqueenbydeborahlindquist,8.09942011933776
6626,Lifestyle_Health,#sustainable,8.09942011933776
6627,Lifestyle_Health,#ecofriendly,8.09942011933776
6628,Lifestyle_Health,#plantbased,8.09942011933776
6629,Lifestyle_Health,#vegansofig,8.09942011933776
6630,Lifestyle_Health,#veganfoodshare,8.09942011933776
6631,Lifestyle_Health,#eco,8.09942011933776
6632,Lifestyle_Health,#sustainability,8.09942011933776
6633,Lifestyle_Health,#sustainablefashion,8.09942011933776
6634,Lifestyle_Health,#organic,8.09942011933776
6635,Lifestyle_Health,#vegetarian,8.09942011933776
6636,Lifestyle_Health,#ecofashion,8.09942011933776
6637,Lifestyle_Health,#govegan,8.09942011933776
6638,Lifestyle_Health,#crueltyfree,8.09942011933776
6639,Lifestyle_Health,#recycle,8.09942011933776
6640,Lifestyle_Health,#sustainableliving,8.09942011933776
6641,Lifestyle_Health,#veganism,8.09942011933776
6642,Lifestyle_Health,#reuse,8.09942011933776
6643,Lifestyle_Health,#ethicalfashion,8.09942011933776
6644,Lifestyle_Health,#ethical,8.09942011933776
6645,Lifestyle_Health,#upcycle,8.09942011933776
6646,Lifestyle_Health,#slowfashion,8.09942011933776
6647,Lifestyle_Health,#veganfoodporn,8.09942011933776
6648,Lifestyle_Health,#vegansofinstagram,8.09942011933776
6649,Lifestyle_Health,#sustainabledesign,8.09942011933776
6650,Lifestyle_Health,#recycled,8.09942011933776
6651,Lifestyle_Health,#zerowaste,8.09942011933776
6652,Lifestyle_Health,#veganlife,8.09942011933776
6653,Lifestyle_Health,#dancemoms,4.05235338535112
6654,Lifestyle_Health,#abbyleemiller,4.05235338535112
6655,Lifestyle_Health,#imetabbylee,4.05235338535112
6656,Lifestyle_Health,#abbyleedancecompany,4.05235338535112
6657,Lifestyle_Health,#season7,4.05235338535112
6658,Lifestyle_Health,#ad,4.269266324901253
6659,Lifestyle_Health,#queengotham,4.269266324901253
6660,Lifestyle_Health,#greenqueenbydeborahlindquist,4.269266324901253
6661,Lifestyle_Health,#sustainable,4.269266324901253
6662,Lifestyle_Health,#ecofriendly,4.269266324901253
6663,Lifestyle_Health,#plantbased,4.269266324901253
6664,Lifestyle_Health,#vegansofig,4.269266324901253
6665,Lifestyle_Health,#veganfoodshare,4.269266324901253
6666,Lifestyle_Health,#eco,4.269266324901253
6667,Lifestyle_Health,#sustainability,4.269266324901253
6668,Lifestyle_Health,#sustainablefashion,4.269266324901253
6669,Lifestyle_Health,#organic,4.269266324901253
6670,Lifestyle_Health,#vegetarian,4.269266324901253
6671,Lifestyle_Health,#ecofashion,4.269266324901253
6672,Lifestyle_Health,#govegan,4.269266324901253
6673,Lifestyle_Health,#crueltyfree,4.269266324901253
6674,Lifestyle_Health,#recycle,4.269266324901253
6675,Lifestyle_Health,#sustainableliving,4.269266324901253
6676,Lifestyle_Health,#veganism,4.269266324901253
6677,Lifestyle_Health,#reuse,4.269266324901253
6678,Lifestyle_Health,#ethicalfashion,4.269266324901253
6679,Lifestyle_Health,#ethical,4.269266324901253
6680,Lifestyle_Health,#upcycle,4.269266324901253
6681,Lifestyle_Health,#slowfashion,4.269266324901253
6682,Lifestyle_Health,#veganfoodporn,4.269266324901253
6683,Lifestyle_Health,#vegansofinstagram,4.269266324901253
6684,Lifestyle_Health,#sustainabledesign,4.269266324901253
6685,Lifestyle_Health,#recycled,4.269266324901253
6686,Lifestyle_Health,#zerowaste,4.269266324901253
6687,Lifestyle_Health,#veganlife,4.269266324901253
6688,Lifestyle_Health,#athomeintheworld,3.8095238095238093
6689,Lifestyle_Health,#makeitblissful,3.8095238095238093
6690,Lifestyle_Health,#choosejoy,3.8095238095238093
6691,Lifestyle_Health,#milwaukeemakers,3.8095238095238093
6692,Lifestyle_Health,#forahappymoment,3.8095238095238093
6693,Lifestyle_Health,#shootandshare,3.8095238095238093
6694,Lifestyle_Health,#lifelivedbeautifully,3.8095238095238093
6695,Lifestyle_Health,#workinprogress,3.8095238095238093
6696,Lifestyle_Health,#mybeautifulmess,3.8095238095238093
6697,Lifestyle_Health,#behindthescenes,3.8095238095238093
6698,Lifestyle_Health,#ihavethisthingwithpink,3.8095238095238093
6699,Lifestyle_Health,#pinkearrings,3.8095238095238093
6700,Lifestyle_Health,#styleatmine,3.8095238095238093
6701,Lifestyle_Health,#designisinthedetails,3.8095238095238093
6702,Lifestyle_Health,#fromwhereistand,3.8095238095238093
6703,Lifestyle_Health,#ohwowyes,3.8095238095238093
6704,Lifestyle_Health,#solovely,3.8095238095238093
6705,Lifestyle_Health,#alifeofintention,3.8095238095238093
6706,Lifestyle_Health,#photosinbetween,3.8095238095238093
6707,Lifestyle_Health,#collectivelycreative,3.8095238095238093
6708,Lifestyle_Health,#bohosoul,3.8095238095238093
6709,Lifestyle_Health,#modernboho,3.8095238095238093
6710,Lifestyle_Health,#creativeheart,3.8095238095238093
6711,Lifestyle_Health,#nothingisordinary,3.8095238095238093
6712,Lifestyle_Health,#bohemianmodern,3.8095238095238093
6713,Lifestyle_Health,#ad,4.193629716782923
6714,Lifestyle_Health,#queengotham,4.193629716782923
6715,Lifestyle_Health,#greenqueenbydeborahlindquist,4.193629716782923
6716,Lifestyle_Health,#sustainable,4.193629716782923
6717,Lifestyle_Health,#ecofriendly,4.193629716782923
6718,Lifestyle_Health,#plantbased,4.193629716782923
6719,Lifestyle_Health,#vegansofig,4.193629716782923
6720,Lifestyle_Health,#veganfoodshare,4.193629716782923
6721,Lifestyle_Health,#eco,4.193629716782923
6722,Lifestyle_Health,#sustainability,4.193629716782923
6723,Lifestyle_Health,#sustainablefashion,4.193629716782923
6724,Lifestyle_Health,#organic,4.193629716782923
6725,Lifestyle_Health,#vegetarian,4.193629716782923
6726,Lifestyle_Health,#ecofashion,4.193629716782923
6727,Lifestyle_Health,#govegan,4.193629716782923
6728,Lifestyle_Health,#crueltyfree,4.193629716782923
6729,Lifestyle_Health,#recycle,4.193629716782923
6730,Lifestyle_Health,#sustainableliving,4.193629716782923
6731,Lifestyle_Health,#veganism,4.193629716782923
6732,Lifestyle_Health,#reuse,4.193629716782923
6733,Lifestyle_Health,#ethicalfashion,4.193629716782923
6734,Lifestyle_Health,#ethical,4.193629716782923
6735,Lifestyle_Health,#upcycle,4.193629716782923
6736,Lifestyle_Health,#slowfashion,4.193629716782923
6737,Lifestyle_Health,#veganfoodporn,4.193629716782923
6738,Lifestyle_Health,#vegansofinstagram,4.193629716782923
