,PO_dominant_topic,PO_hashtags,Impressions
963,Hobby,#SHAPE,3.5099872993880616
964,Hobby,#artofthisworld,5.447298494242693
965,Hobby,#artheals,5.447298494242693
2050,Hobby,#happybirthdaytome,2.259624221191104
2051,Hobby,#tscrx44,0.856695427887125
3341,Hobby,#tattoo,0.30730296456977585
3342,Hobby,#tattoos,0.30730296456977585
3343,Hobby,#daughter,0.30730296456977585
3344,Hobby,#flowers,0.30730296456977585
3345,Hobby,#script,0.30730296456977585
3346,Hobby,#walkins,0.30730296456977585
3347,Hobby,#welcome,0.30730296456977585
3348,Hobby,#operationtattooingfreedom,0.30730296456977585
3349,Hobby,#otfauthorizedartist,0.30730296456977585
3350,Hobby,#genestllc,0.30730296456977585
3351,Hobby,#nctattooers,0.30730296456977585
3352,Hobby,#eastcoasttattooers,0.30730296456977585
3353,Hobby,#ecfu,0.30730296456977585
3354,Hobby,#northcarolina,0.30730296456977585
3355,Hobby,#jacksonvillenc,0.30730296456977585
3356,Hobby,#wilmingtonnc,0.30730296456977585
3357,Hobby,#camplejeune,0.30730296456977585
3358,Hobby,#newriverairbase,0.30730296456977585
3359,Hobby,#cherrypoint,0.30730296456977585
3392,Hobby,#love,9.670164917541229
3393,Hobby,#gold,9.670164917541229
3394,Hobby,#funinthesun,4.279600570613409
3395,Hobby,#tequila,4.279600570613409
3396,Hobby,#glowup,4.279600570613409
3397,Hobby,#melanin,4.279600570613409
3398,Hobby,#blackjoy,4.279600570613409
3399,Hobby,#Brooklyn,4.279600570613409
3400,Hobby,#spreadlove,4.279600570613409
3401,Hobby,#30isthenew20,4.279600570613409
4892,Hobby,#hothothot,8.235294117647058
4893,Hobby,#ep211,1.0715729882733522
4894,Hobby,#solodining,1.0715729882733522
4895,Hobby,#takeout,1.0715729882733522
4896,Hobby,#picnic,1.0715729882733522
4897,Hobby,#fave,1.0715729882733522
4898,Hobby,#sobewff,1.0715729882733522
4899,Hobby,#itsamust,1.0715729882733522
4900,Hobby,#stonecrabs,1.0715729882733522
4901,Hobby,#joes,1.0715729882733522
4902,Hobby,#joesstonecrab,1.0715729882733522
4903,Hobby,#joestakeaway,1.0715729882733522
4904,Hobby,#thatmustardsauce,1.0715729882733522
4905,Hobby,#soloeats,1.0715729882733522
4906,Hobby,#eatwithyourhands,1.0715729882733522
4907,Hobby,#sobe,1.0715729882733522
4908,Hobby,#miamibeach,1.0715729882733522
4909,Hobby,#southpointepark,1.0715729882733522
4910,Hobby,#foodradio,1.0715729882733522
4911,Hobby,#hrn,1.0715729882733522
5228,Hobby,#work,10.476190476190476
5229,Hobby,#portfolio,10.476190476190476
5230,Hobby,#seattle,1.3309134906231095
5231,Hobby,#progress,1.3309134906231095
5232,Hobby,#viaduct,1.3309134906231095
5233,Hobby,#seattleviaduct,1.3309134906231095
5234,Hobby,#seattleviaductdemolition,1.3309134906231095
5235,Hobby,#craftspirits,1.3309134906231095
5236,Hobby,#whiskey,1.3309134906231095
5237,Hobby,#Satan,0.8220786846741045
5238,Hobby,#discourse,0.8220786846741045
5239,Hobby,#tedtalk,0.8220786846741045
5240,Hobby,#knowledge,0.8220786846741045
5241,Hobby,#Easter,0.8220786846741045
5242,Hobby,#Paganism,0.8220786846741045
5243,Hobby,#catholicchurch,0.8220786846741045
5244,Hobby,#christianity,0.8220786846741045
5245,Hobby,#comedy,0.8220786846741045
5246,Hobby,#satire,0.8220786846741045
5247,Hobby,#sitcom,0.8220786846741045
5248,Hobby,#weird,0.8220786846741045
5249,Hobby,#adultswim,0.8220786846741045
5250,Hobby,#humansofnewyork,0.8220786846741045
5251,Hobby,#viral,0.8220786846741045
5252,Hobby,#SatanEnjoysEaster,0.8220786846741045
5253,Hobby,#IG,0.8220786846741045
6092,Hobby,#tattooed,10.808926080892608
6093,Hobby,#lady,10.808926080892608
6094,Hobby,#29hourreading,10.808926080892608
6095,Hobby,#newmusical,10.808926080892608
6096,Hobby,#repeatsoon,21.993957703927492
6097,Hobby,#doughnutplant,1.041694729563476
6098,Hobby,#pridedoughnuts,1.041694729563476
6099,Hobby,#dpnyc25,1.041694729563476
6100,Hobby,#trevorproject,1.041694729563476
6101,Hobby,#lovewins,1.041694729563476
7464,Hobby,#teambuilding,1.9677996422182469
7465,Hobby,#corporateevent,1.9677996422182469
7466,Hobby,#businessevents,1.9677996422182469
7467,Hobby,#events,1.9677996422182469
7468,Hobby,#nycevents,1.9677996422182469
7469,Hobby,#eventplanner,1.9677996422182469
7470,Hobby,#nyceventplaner,1.9677996422182469
7471,Hobby,#nextevent,1.9677996422182469
7472,Hobby,#vrevent,1.9677996422182469
7473,Hobby,#vr,1.9677996422182469
7474,Hobby,#nyc,1.9677996422182469
7475,Hobby,#lowereastside,1.9677996422182469
7476,Hobby,#les,1.9677996422182469
7477,Hobby,#newyork,1.9677996422182469
7478,Hobby,#thefutureisnow,1.9677996422182469
7479,Hobby,#BachEast,4.044117647058823
7480,Hobby,#BrideTribe,4.044117647058823
7481,Hobby,#wedding,4.044117647058823
7482,Hobby,#bachelorette,4.044117647058823
7483,Hobby,#Broadway,4.044117647058823
7484,Hobby,#mybestfriendswedding,4.044117647058823
7497,Hobby,#makeup,11.764705882352942
7498,Hobby,#glow,11.764705882352942
7499,Hobby,#roller,11.764705882352942
7500,Hobby,#sephora,11.764705882352942
7501,Hobby,#sephoraplay,11.764705882352942
7502,Hobby,#kajabeauty,11.764705882352942
7503,Hobby,#kaja,11.764705882352942
9147,Hobby,#louisvuitton,14.754098360655737
9148,Hobby,#zürich,14.754098360655737
9149,Hobby,#switzerland,14.754098360655737
9150,Hobby,#greenport,1.9933554817275747
9151,Hobby,#oysters,1.9933554817275747
9205,Hobby,#thewestportconnection,6.296992481203008
9206,Hobby,#trrghomes,6.296992481203008
9207,Hobby,#realtor,6.296992481203008
9208,Hobby,#homestaging,6.296992481203008
9209,Hobby,#sold,6.296992481203008
9210,Hobby,#westportct,6.296992481203008
9211,Hobby,#06880,6.296992481203008
9212,Hobby,#fairfieldcountyrealestate,6.296992481203008
9928,Hobby,#ForeverRewarded,2.3367892409455284
9929,Hobby,#sponsored,2.3367892409455284
9930,Hobby,#nyc,1.6518424396442186
9931,Hobby,#nycbar,1.6518424396442186
9932,Hobby,#nycevents,1.6518424396442186
9933,Hobby,#midtownnyc,1.6518424396442186
9934,Hobby,#empirestatebuilding,1.6518424396442186
9935,Hobby,#5thandmad,1.6518424396442186
9936,Hobby,#nycfood,1.6518424396442186
9937,Hobby,#nycfoodie,1.6518424396442186
9938,Hobby,#foodie,1.6518424396442186
9939,Hobby,#happyhour,1.6518424396442186
9940,Hobby,#bar,1.6518424396442186
9941,Hobby,#foodiegram,1.6518424396442186
9942,Hobby,#nyceats,1.6518424396442186
9943,Hobby,#privateevents,1.6518424396442186
9944,Hobby,#nycparty,1.6518424396442186
9945,Hobby,#instagood,1.6518424396442186
9946,Hobby,#instafood,1.6518424396442186
9947,Hobby,#nycfoodgals,1.6518424396442186
9948,Hobby,#foodstagram,1.6518424396442186
9949,Hobby,#onmytable,1.6518424396442186
9950,Hobby,#popsicle,1.6518424396442186
9951,Hobby,#frozen,1.6518424396442186
9952,Hobby,#rosè,1.6518424396442186
9953,Hobby,#summerheat,1.6518424396442186
9954,Hobby,#summerfriday,1.6518424396442186
9955,Hobby,#rosepopsicle,1.6518424396442186
9956,Hobby,#rosenyc,1.6518424396442186
9957,Hobby,#roseallday,1.6518424396442186
9958,Hobby,#gotheblues,2.8507126781695424
10025,Hobby,#whataburger,6.035889070146819
10026,Hobby,#texasproud,6.035889070146819
10027,Hobby,#wheredyoursoapgo,6.035889070146819
10028,Hobby,#youcanttakethesouthoutofthegirl,6.035889070146819
10029,Hobby,#willalwayslovethisplace,6.035889070146819
10030,Hobby,#memories,6.035889070146819
10031,Hobby,#artisanhoney,6.035889070146819
10032,Hobby,#haefelihoney,6.035889070146819
10033,Hobby,#teaxasadventure,6.035889070146819
10034,Hobby,#texas,6.035889070146819
10035,Hobby,#roadtrip,6.035889070146819
10036,Hobby,#hamburgersaremyfavorite,6.035889070146819
10037,Hobby,#hamburger,6.035889070146819
10038,Hobby,#roadfood,6.035889070146819
10039,Hobby,#jealous,6.035889070146819
10040,Hobby,#yummy,6.035889070146819
10041,Hobby,#nativewildnatural,6.035889070146819
10042,Hobby,#morsowanie,22.460496613995485
10043,Hobby,#winter,22.460496613995485
10044,Hobby,#coldasice,22.460496613995485
11445,Hobby,#nyfw,6.426491501320512
11446,Hobby,#lingerie,6.426491501320512
11447,Hobby,#model,6.426491501320512
11448,Hobby,#nyc,6.426491501320512
11449,Hobby,#myhatersspendalotoftimewithmeimtheirbestfriend,6.426491501320512
12997,Hobby,#whiteplains,0.77007700770077
12998,Hobby,#ny,0.77007700770077
12999,Hobby,#newyork,0.77007700770077
13000,Hobby,#wordswithfriends,0.77007700770077
13001,Hobby,#lol,0.77007700770077
13165,Hobby,#onefortheditch,6.111111111111111
13166,Hobby,#divebars,6.111111111111111
13167,Hobby,#oldhaunts,6.111111111111111
13168,Hobby,#domestics,6.111111111111111
13169,Hobby,#melaninqueen,12.515337423312884
13170,Hobby,#insta_makeup,12.515337423312884
13171,Hobby,#feedyourface,12.515337423312884
13172,Hobby,#makeupmafia,12.515337423312884
13173,Hobby,#slave2makeup,12.515337423312884
13174,Hobby,#beautyboy,12.515337423312884
13175,Hobby,#glammakeup,12.515337423312884
13176,Hobby,#makeuplook,12.515337423312884
13177,Hobby,#allmodernmakeup,12.515337423312884
13178,Hobby,#beautys,12.515337423312884
13179,Hobby,#beautytime,12.515337423312884
13180,Hobby,#beautysecrets,12.515337423312884
13181,Hobby,#fullcoverage,12.515337423312884
13182,Hobby,#makeupaddicts,12.515337423312884
13183,Hobby,#malemua,12.515337423312884
13184,Hobby,#blendtherules,12.515337423312884
13185,Hobby,#wakeupandmakeup,12.515337423312884
13186,Hobby,#makeuptutorials,12.515337423312884
13187,Hobby,#makeuptransformation,12.515337423312884
13188,Hobby,#londoners,12.515337423312884
13189,Hobby,#insta_makeup,12.515337423312884
13190,Hobby,#muasfeaturing,12.515337423312884
13191,Hobby,#mua_underdogs,12.515337423312884
13192,Hobby,#fullglam,12.515337423312884
13193,Hobby,#drugstoremakeup,12.515337423312884
13194,Hobby,#glamboyz,12.515337423312884
13195,Hobby,#wearebrows,12.515337423312884
13196,Hobby,#undiscoveredmua,12.515337423312884
13197,Hobby,#slaymakeup,12.515337423312884
13198,Hobby,#makeupideas,12.515337423312884
13199,Hobby,#beach,5.230769230769231
13200,Hobby,#love,5.230769230769231
13201,Hobby,#tattoos,5.230769230769231
13202,Hobby,#bahamas,5.230769230769231
13654,Hobby,#PaulAndShark,15.96169193934557
14157,Hobby,#ForeverToThee,21.062271062271062
14158,Hobby,#LoveoftheGame,21.062271062271062
14159,Hobby,#SpursUp,21.062271062271062
14160,Hobby,#worldchamps,11.604095563139932
14161,Hobby,#cityofchampions,11.604095563139932
14162,Hobby,#boston,11.604095563139932
14163,Hobby,#redsox,11.604095563139932
14519,Hobby,#weddingphotography,5.147058823529412
14520,Hobby,#castleofmey,5.147058823529412
14521,Hobby,#wedding,5.147058823529412
14522,Hobby,#bridalshoot,5.147058823529412
14523,Hobby,#studiograffphoto,5.147058823529412
14524,Hobby,#caithness,5.147058823529412
14525,Hobby,#highlandwedding,5.147058823529412
14526,Hobby,#odontologia,1.7715419501133787
14527,Hobby,#curitiba,1.7715419501133787
14528,Hobby,#implantedentario,1.7715419501133787
14529,Hobby,#dentalimplant,1.7715419501133787
15623,Hobby,#HappyMothersDay,9.865706354565233
15624,Hobby,#Mom,9.865706354565233
15625,Hobby,#Sister,9.865706354565233
15626,Hobby,#Brother,9.865706354565233
15627,Hobby,#Thankful,9.865706354565233
15628,Hobby,#nyc,5.882352941176471
15629,Hobby,#cityscape,5.882352941176471
15630,Hobby,#worldtradecenter,5.882352941176471
15631,Hobby,#oneworldtrade,5.882352941176471
15632,Hobby,#wtc1,5.882352941176471
15633,Hobby,#basen,11.666666666666666
15634,Hobby,#ochłoda,11.666666666666666
15635,Hobby,#goraco,11.666666666666666
15636,Hobby,#Antonio,11.666666666666666
15637,Hobby,#Haneczka,11.666666666666666
15908,Hobby,#raffaellabarker,0.40609137055837563
15909,Hobby,#lucindabredin,0.40609137055837563
15910,Hobby,#baconsthorpecastle,0.40609137055837563
15911,Hobby,#آمبره,3.638814016172507
15912,Hobby,#سامبره_بالیاژ_دکلره_دکاپاژ_کالرملتینگ_مش_پوش_سوئیت_مش_کاملا_حرفه,3.638814016172507
15913,Hobby,#رنگ_مش,3.638814016172507
15914,Hobby,#كوتاهي_مو,3.638814016172507
15915,Hobby,#كوتاهي_مو_ژورنالي,3.638814016172507
15916,Hobby,#رنگموفانتزی,3.638814016172507
15917,Hobby,#رنگموترکیبی,3.638814016172507
15918,Hobby,#رنگمو,3.638814016172507
15919,Hobby,#رنگ_مو,3.638814016172507
15920,Hobby,#ارايشگاه,3.638814016172507
15921,Hobby,#بالياژ,3.638814016172507
15922,Hobby,#ويتامينه_مو,3.638814016172507
15923,Hobby,#ريباندينگ,3.638814016172507
15924,Hobby,#كراتينه_مو,3.638814016172507
15925,Hobby,#پلكس_تراپي,3.638814016172507
15926,Hobby,#آرايشمو,3.638814016172507
15927,Hobby,#آرايشگاهاصفهان,3.638814016172507
15928,Hobby,#ارايشگاه_زنانه,3.638814016172507
15929,Hobby,#عروس,3.638814016172507
15930,Hobby,#كانتورينگ_عروس,3.638814016172507
15931,Hobby,#گريم_صورت,3.638814016172507
15932,Hobby,#گريم_عروس,3.638814016172507
15933,Hobby,#اصفهانی,3.638814016172507
15934,Hobby,#اصفهان,3.638814016172507
15935,Hobby,#اصفهانگردی,3.638814016172507
15936,Hobby,#اصفهانجلیش,3.638814016172507
15937,Hobby,#شنيون,3.638814016172507
15938,Hobby,#اصفهان_زیبا,3.638814016172507
16314,Hobby,#waveoflight2016,14.196567862714508
16315,Hobby,#lion,4.147465437788019
16316,Hobby,#graffitiart,4.147465437788019
16317,Hobby,#englandsvej,4.147465437788019
16318,Hobby,#englandsparken,4.147465437788019
16319,Hobby,#parc,4.147465437788019
16320,Hobby,#iusedtobehereallthetime,4.147465437788019
16321,Hobby,#18yearsago,4.147465437788019
16322,Hobby,#amager,4.147465437788019
16323,Hobby,#amar,4.147465437788019
16577,Hobby,#люблюxpage,17.99324650265316
16578,Hobby,#napoleonit,17.99324650265316
16579,Hobby,#napoleonitschool,17.99324650265316
16580,Hobby,#projectmanagement,17.99324650265316
16581,Hobby,#мидис,17.99324650265316
16582,Hobby,#wangjiao,0.3764967287989137
16583,Hobby,#chinesefood,0.3764967287989137
16584,Hobby,#chineserestaurant,0.3764967287989137
16585,Hobby,#restaurant,0.3764967287989137
16586,Hobby,#restaurantdesign,0.3764967287989137
16587,Hobby,#turin,0.3764967287989137
16588,Hobby,#turinrestaurant,0.3764967287989137
16772,Hobby,#tui,2.0027723340184505
16773,Hobby,#tuifr,2.0027723340184505
16774,Hobby,#mauritius,2.0027723340184505
16775,Hobby,#tuisensimar,2.0027723340184505
16776,Hobby,#vacances,2.0027723340184505
17061,Hobby,#suffragette,5.223880597014926
17062,Hobby,#party,5.535055350553505
17063,Hobby,#flowers,5.535055350553505
17064,Hobby,#spring,5.535055350553505
17065,Hobby,#floraldesign,5.535055350553505
17066,Hobby,#gifts,5.535055350553505
17067,Hobby,#floral,5.535055350553505
17068,Hobby,#pink,5.535055350553505
17069,Hobby,#shoplocal,5.535055350553505
17070,Hobby,#wilton,5.535055350553505
17071,Hobby,#arrangements,5.535055350553505
17072,Hobby,#renu180medspa,3.481894150417827
17073,Hobby,#nomorewrinkles,3.481894150417827
17074,Hobby,#Dysport,3.481894150417827
17075,Hobby,#dysportsouthington,3.481894150417827
17076,Hobby,#botox,3.481894150417827
17077,Hobby,#botoxsouthington,3.481894150417827
17577,Hobby,#mothersday,24.302788844621514
17578,Hobby,#nycmom,24.302788844621514
17579,Hobby,#chelseamom,24.302788844621514
17580,Hobby,#licmom,24.302788844621514
17581,Hobby,#pediatricdentist,24.302788844621514
17582,Hobby,#nyckids,24.302788844621514
17583,Hobby,#motherhood,24.302788844621514
17584,Hobby,#99centsonlystore,7.131901840490798
17585,Hobby,#toblerone,7.131901840490798
17586,Hobby,#chocolate,7.131901840490798
17587,Hobby,#modthriftsociety,7.131901840490798
17588,Hobby,#thrifty,7.131901840490798
17589,Hobby,#lifestyle,7.131901840490798
17590,Hobby,#lifestylecompany,7.131901840490798
17591,Hobby,#foodie,7.131901840490798
17592,Hobby,#Phoenix,7.131901840490798
17593,Hobby,#Arizona,7.131901840490798
17594,Hobby,#smallbusiness,7.131901840490798
18102,Hobby,#lasvegas,8.893280632411066
