PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
1,1.0,17.0,2020,8,26.0,1.0,1.0,183.0,32.0,0.02,0.02,0.43,0.02,0.02,0.02,0.02,0.02,0.02,0.44,8,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,26.0,1.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.0,1.0
1,1.0,17.0,2021,7,17.0,4.0,1.0,183.0,28.0,0.03,0.03,0.03,0.03,0.35,0.03,0.03,0.03,0.03,0.38,8,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,17.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.0,1.0
8,2.0,17.0,2022,8,27.0,4.0,1.0,183.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.18,4,0.0,0.94,0.06,0.4019,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.0,1.0
1,2.0,17.0,2021,9,27.0,4.0,1.0,183.0,29.0,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.41,0.01,0.14,4,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,1.0
1,0.0,17.0,2021,7,27.0,4.0,1.0,183.0,32.0,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.0,1.0
2,2.0,17.0,2021,9,27.0,4.0,1.0,183.0,32.0,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,2,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,63.0,1.0
1,2.0,17.0,2021,10,27.0,4.0,1.0,183.0,32.0,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,0.0,0.919,0.081,0.4588,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.0,1.0
1,2.0,17.0,2021,9,27.0,4.0,1.0,183.0,31.0,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,0.0,0.845,0.155,0.6369,239.0,157.0,193.0,0,27.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0,1.0
1,0.0,17.0,2022,4,10.0,0.0,1.0,183.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.41,0.06,0.06,6,0.0,1.0,0.0,0.0,239.0,157.0,193.0,0,10.0,0.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.0,1.0
1,1.0,17.0,2021,7,17.0,4.0,1.0,183.0,25.0,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.34,0.01,0.23,6,0.0,0.87,0.13,0.5574,239.0,157.0,193.0,0,17.0,4.0,1.0,237.0,2.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1.0
