description,hashtag,tag_accounts,description_Emoji,description_Language,description_Translated,clean_text,Hobby,Skincare_Treatment,Work_Event,Fitness,Lifestyle_Health,Shop_Business_Advertisement,Beauty_Makeup,Travel_Celebrations,Food,Life_Happiness,dominant_topic,polarity,neg,neu,pos,compound
Becoming David Beckham. He is my inspiration. #amazonsg #amazonpetssg @davidbeckham #singaporebeagle #sgbeagle #beagleworld_feature #beagle_mania #beaglesofinstagram #beaglelife #beagle #beaglelife #beagleworld_feature #beaglelove #beagles #dog #dogsofinstagram #doglife #dogsofinstagram #dogoftheday #doglover #dogsofficialdog #dogstyle #dogfriendly #dogfashion #dogfamily #dogfriends #doginfluencer,#amazonsg #amazonpetssg #singaporebeagle #sgbeagle #beagleworld_feature #beagle_mania #beaglesofinstagram #beaglelife #beagle #beaglelife #beagleworld_feature #beaglelove #beagles #dog #dogsofinstagram #doglife #dogsofinstagram #dogoftheday #doglover #dogsofficialdog #dogstyle #dogfriendly #dogfashion #dogfamily #dogfriends #doginfluencer,@davidbeckham,,en,Becoming David Beckham. He is my inspiration. #amazonsg #amazonpetssg @davidbeckham #singaporebeagle #sgbeagle #beagleworld_feature #beagle_mania #beaglesofinstagram #beaglelife #beagle #beaglelife #beagleworld_feature #beaglelove #beagles #dog #dogsofinstagram #doglife #dogsofinstagram #dogoftheday #doglover #dogsofficialdog #dogstyle #dogfriendly #dogfashion #dogfamily #dogfriends #doginfluencer,becom david beckham inspir amazonsg amazonpetssg singaporebeagl sgbeagl beagleworld featur beagl mania beaglesofinstagram beaglelif beagl beaglelif beagleworld featur beaglelov beagl  dogsofinstagram doglif dogsofinstagram dogoftheday doglov dogsofficialdog dogstyl dogfriendli dogfashion dogfamili dogfriend doginfluenc,0.02,0.02,0.43,0.02,0.02,0.02,0.02,0.02,0.02,0.44,8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"A happy weekend begins with early morning walk with parents, coconut water, BIG bone. 
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld",#beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"A happy weekend begins with early morning walk with parents, coconut water, BIG bone. 
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld",happi weekend begin earli morn walk parent coconut water  bone sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld,0.03,0.03,0.03,0.03,0.35,0.03,0.03,0.03,0.03,0.38,8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Starting from who is going to get a treat first in the morning to who is going to sleep next amma challenge will be continued in the future.

@sujatha.sureshkumar
@sauravsahu25 @sauravsahusg #Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld_feature
#goldenpuppys #goldenpuppylove #goldenretriever",#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #DogLover #DogOfTheDay #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld_feature #goldenpuppys #goldenpuppylove #goldenretriever,@sujatha @sauravsahu25 @sauravsahusg @sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"Starting from who is going to get a treat first in the morning to who is going to sleep next amma challenge will be continued in the future.

@sujatha.sureshkumar
@sauravsahu25 @sauravsahusg #Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld_feature
#goldenpuppys #goldenpuppylove #goldenretriever",start go  treat first morn go sleep next amma challeng continu futur sureshkumar  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld featur goldenpuppi goldenpuppylov goldenretriev,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.18,4,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4019}",0.0,0.94,0.06,0.4019
"Brand ambassador of IKEA! 😜
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld @ikeasingapore @ikea",#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #DogLover #DogOfTheDay #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv @ikeasingapore @ikea,winking face with tongue,en,"Brand ambassador of IKEA! 
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld @ikeasingapore @ikea",brand ambassador ikea  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.41,0.01,0.14,4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Stock checking... 
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#doglover #dogoftheday  #puppy #puppies  #pup #pupper #puppiesofinstagram #puppies_of_instagram #puppylove #puppyoftheday #puppy #puppylover #puppygram #pupoftheday  #puppylife  #pupstagram #instapup #puppiesofinstagram IG #pupsofinstagram #pup #puppyeyes #puppydogeyes #puppydog",#beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #doglover #dogoftheday #puppy #puppies #pup #pupper #puppiesofinstagram #puppies_of_instagram #puppylove #puppyoftheday #puppy #puppylover #puppygram #pupoftheday #puppylife #pupstagram #instapup #puppiesofinstagram #pupsofinstagram #pup #puppyeyes #puppydogeyes #puppydog,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"Stock checking... 
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#doglover #dogoftheday  #puppy #puppies  #pup #pupper #puppiesofinstagram #puppies_of_instagram #puppylove #puppyoftheday #puppy #puppylover #puppygram #pupoftheday  #puppylife  #pupstagram #instapup #puppiesofinstagram IG #pupsofinstagram #pup #puppyeyes #puppydogeyes #puppydog",stock check sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday puppi puppi  pupper puppiesofinstagram puppi  instagram puppylov puppyoftheday puppi puppylov puppygram pupoftheday puppylif pupstagram instapup puppiesofinstagram  pupsofinstagram  puppyey puppydogey puppydog,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"When our chief happiness officer is at work!
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld
#wfh #zoom #chiefhappinessofficer",#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #DogLover #DogOfTheDay #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld #wfh #zoom #chiefhappinessofficer,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"When our chief happiness officer is at work!
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld
#wfh #zoom #chiefhappinessofficer",chief happi offic work  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld  zoom chiefhappinessoffic,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Do I get prasad(offerings), sweet pongal, If I sit along with these dolls? 
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld #navaratri #navarathiri #toys",#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #DogLover #DogOfTheDay #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld #navaratri #navarathiri #toys,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"Do I get prasad(offerings), sweet pongal, If I sit along with these dolls? 
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld #navaratri #navarathiri #toys", prasad offer sweet pongal  along doll  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld navaratri navarathiri toy,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4588}",0.0,0.919,0.081,0.4588
"Start each day with a dog kiss and a smile! 
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld
#saree #sareelove",#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog #Dogstagram #Petstagram #DogLover #DogOfTheDay #beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld #saree #sareelove,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"Start each day with a dog kiss and a smile! 
#Dog #DogsOfInstagram #Puppy #Dogs #Pet #InstaDog 
#Dogstagram #Petstagram 
#DogLover #DogOfTheDay @sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld
#saree #sareelove",start   kiss smile  dogsofinstagram puppi dog  instadog dogstagram petstagram doglov dogoftheday sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld sare sareelov,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.6486}",0.0,0.845,0.155,0.6486
Grandma run run run! It is a dinosaur chasing us! #dinosaur #dinosaurs #dinosaurmile #changiairport #beaglelife #beagleworld_feature #beagle #beaglesofinstagram #beaglemania #beagleworld,#dinosaur #dinosaurs #dinosaurmile #changiairport #beaglelife #beagleworld_feature #beagle #beaglesofinstagram #beaglemania #beagleworld,,,en,Grandma run run run! It is a dinosaur chasing us! #dinosaur #dinosaurs #dinosaurmile #changiairport #beaglelife #beagleworld_feature #beagle #beaglesofinstagram #beaglemania #beagleworld,grandma    dinosaur chase  dinosaur dinosaur dinosaurmil changiairport beaglelif beagleworld featur beagl beaglesofinstagram beaglemania beagleworld,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.41,0.06,0.06,6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Mama... Enough of your laughs and taking photos. Give me Kozhukatai.
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld",#beer #dog #sgdogfestival #dogoftheday #dogsofinstagram #doglife #doggo #dogstagram #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld,@sauravsahu25 @sauravsahusg @sujatha @woofwooftv,,en,"Mama... Enough of your laughs and taking photos. Give me Kozhukatai.
@sauravsahu25 @sauravsahusg @sujatha.sureshkumar @woofwooftv #beer #dog #sgdogfestival #dogoftheday  #dogsofinstagram #doglife #doggo #dogstagram  #doggy #doggystyles #beagle #beaglesofinstagram #beagleworld_feature #beaglegang #beaglelife #beaglemania #beagleworld",mama enough laugh take photo give kozhukatai sureshkumar beer  sgdogfestiv dogoftheday dogsofinstagram doglif doggo dogstagram doggi doggystyl beagl beaglesofinstagram beagleworld featur beaglegang beaglelif beaglemania beagleworld,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.34,0.01,0.23,6,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.5574}",0.0,0.87,0.13,0.5574
