PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.11,0.37,0.01,0.36,0.01,0.12,0.01,0.01,0.01,1,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,307.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,167.0,45.0,0.01,0.12,0.3,0.01,0.43,0.01,0.11,0.01,0.01,0.01,2,0.0,0.764,0.236,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,307.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.01,0.22,0.01,0.39,0.01,0.17,0.18,0.01,0.01,2,0.0,0.751,0.249,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,306.0,6.0
2,34.0,9505.479999999987,2023,3,0.0,1.0,5.0,788.0,15.0,0.01,0.01,0.01,0.01,0.62,0.01,0.32,0.01,0.01,0.01,2,0.0,0.341,0.373,0.9468,967.0,151925.0,6.0,0,0.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08514,342.0,9.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,3.0,788.0,17.0,0.01,0.14,0.35,0.01,0.35,0.01,0.12,0.01,0.01,0.01,1,0.0,0.504,0.373,0.8689,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0831925,290.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,3.0,788.0,45.0,0.01,0.01,0.53,0.01,0.28,0.01,0.13,0.01,0.01,0.01,1,0.0,0.738,0.262,0.9169,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439250000000001,308.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,4.0,788.0,45.0,0.01,0.12,0.01,0.01,0.52,0.01,0.14,0.18,0.01,0.01,2,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,308.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,5.0,788.0,45.0,0.01,0.01,0.01,0.01,0.62,0.01,0.32,0.01,0.01,0.01,2,0.0,0.795,0.205,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,269.0,6.0
1,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.01,0.01,0.01,0.58,0.01,0.34,0.01,0.01,0.01,2,0.0,0.751,0.249,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,306.0,6.0
1,34.0,9505.479999999987,2023,1,30.0,2.0,5.0,167.0,42.0,0.01,0.31,0.01,0.01,0.51,0.01,0.14,0.01,0.01,0.01,2,0.0,0.826,0.17,0.7906,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.081235,281.0,6.0
