PO_post_type,PO_URL,PO_number_comments,PO_numbr_likes,PO_description,PO_number_view_count,Year,Month
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/333274723_581899757335043_1915522261327310044_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=xxGJAnnp4kkAX--Tq7D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-rssi3ATCKmz-17hmCazMAVwULLnFS_mDi6z4JoDxOw&oe=6465756E&_nc_sid=f4eaf9,5742,2295447,"Baby golden 🥰 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",8615576,2023,3
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/331717438_1449236332495711_905651013429091214_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=DPSbcp24Ra8AX_zEpCs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCsua8i8xSewAfCkL91UrhvEqEkGTxkUGETfrOmNi926Q&oe=64656F6D&_nc_sid=f4eaf9,1345,746028,"Half retriever, half musician 🥁 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",5002215,2023,3
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/334829534_552040037042993_3971804974881388680_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=62sy4haWBOIAX93R7az&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGrxr5DpLw6y2Gn7bJPCkZqyYrlSL9qeAptp1gzAww7g&oe=64658CB9&_nc_sid=f4eaf9,679,378987,"Where are we going? 🚗 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",2111782,2023,3
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/335988064_1240968303203946_8281763153002388448_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Ejr7T2f7MsoAX95Zadc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEXZBcT-W1ba1WYnAAgcJFwYM0jDGoaJiUopx9WM6Vkg&oe=646534AD&_nc_sid=f4eaf9,453,215875,"Cutest bark 🥰 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
🎥DM for credit/removal",685521,2023,3
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339689053_927111725065593_136307531843295529_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=hghGuHTvOyQAX8RCEBU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAyJdxW7YqaNPlYil3kx0n0b05YITj_OUydr0KOm3plrQ&oe=64657272&_nc_sid=f4eaf9,286,192932,"Who wants a golden retriever? 🐶 

 Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",686556,2023,4
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/334616513_723501759451928_8853870893633374272_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=lvnbwad0A44AX9Vqm-q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCO557G_4HFSaeT0hbSIHy670dkU0gGqWcaZDCPB9VbNQ&oe=646500D5&_nc_sid=f4eaf9,232,127532,"Who has/wants a golden retriever?
Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",455331,2023,3
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/335786791_765999365091153_2992006389852850659_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=FrjjCwdXCVAAX8akjVA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeTCIU8bpA1c0jCBzxQq2cT59Dsw5U3yzic_2DGLxrIg&oe=64652B15&_nc_sid=f4eaf9,194,126099,"Kid tested, Kid approved.
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",581737,2023,3
1,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/319694384_1834642956883404_8695653290220567383_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=AIIGs9eXxX0AX9q1wcw&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC25gFpOCnd4BL3nRRkBaaz2JfuIQ_bdUSFFHzkp1N4qg&oe=64685ACE&_nc_sid=f4eaf9,110,117910,"Weekend vibes 💤
Rate this cutie 1-10 😍
.
😍 Tag a friend who needs to see this
🐶 Follow @doggodorable for more
❤️ Make sure to like and comment
.
📷 DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily #labradorpuppy #puppyproblems #dognap #dogsofchicago #dogsdaily #cutestgoldens #gloriousgoldens #goldens_ofinstagram #ilovemygolden #goldenretriever_feature #goldenretrieversofig #welovegoldens #retrieversofinstagram #goldensofinstagram #goldenretrieverslovex #goldenpuppies #dogtired #goldie #puppytime #mylittledog #cutestpuppy #dogsmile #creamgoldenretriever #goldenretrieveroftheday #goldenretrieverpup #goldenretrieversofinsta",0,2022,12
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/337665024_1001848924118374_4398659870526938515_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=YNg0AIHpKNIAX-1rNVI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBjDRdR-lxnnmZwEOmPdGOqlbTimxgzWGzz7vb9Ll38aw&oe=6468BAEF&_nc_sid=f4eaf9,145,104785,"Where are we going? 🚗 
🥰Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",0,2023,3
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/323584944_565893748366277_1524315511748679485_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=d2u0pI8IVQoAX-WbTxo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAMhyk9TlDCr1SO1RrXK0OpGktQcESP3oAQ6C5CAdk3Cw&oe=64683F7A&_nc_sid=f4eaf9,133,104675,"Those eyes 🥺
Rate this cutie 1-10 😍
.
😍 Tag a friend who needs to see this
🐶 Follow @doggodorable for more
❤️ Make sure to like and comment
.
📷 @winter_thegolden
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily #labradorpuppy #puppyproblems #dognap #dogsofchicago #dogsdaily #cutestgoldens #gloriousgoldens #goldens_ofinstagram #ilovemygolden #goldenretriever_feature #goldenretrieversofig #welovegoldens #retrieversofinstagram #goldensofinstagram #goldenretrieverslovex #goldenpuppies #dogtired #goldie #puppytime #mylittledog #cutestpuppy #dogsmile #creamgoldenretriever #goldenretrieveroftheday #goldenretrieverpup #goldenretrieversofinsta",0,2023,1
