PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
2,16.0,831.9839999999999,2021,7,1.0,1.0,1.0,1124.0,14.0,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.28,3,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,1.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,367.0,13.0
8,16.0,831.9839999999999,2020,3,3.0,0.0,3.0,1124.0,28.0,0.0,0.03,0.32,0.58,0.0,0.0,0.0,0.05,0.0,0.0,3,0.099,0.787,0.085,-0.0956,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25413,358.0,13.0
8,16.0,831.9839999999999,2020,2,2.0,0.0,3.0,1124.0,22.0,0.0,0.0,0.0,0.43,0.19,0.35,0.0,0.0,0.0,0.0,3,0.0,0.739,0.261,0.6908,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33277,360.0,13.0
2,16.0,831.9839999999999,2021,11,1.0,1.0,1.0,1124.0,10.0,0.0,0.0,0.19,0.51,0.0,0.26,0.0,0.0,0.0,0.0,3,0.099,0.563,0.254,0.25,1133.0,189844.0,73.0,0,1.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.28869,366.0,9.0
2,16.0,831.9839999999999,2023,2,0.0,1.0,1.0,1124.0,8.0,0.01,0.01,0.01,0.25,0.01,0.28,0.01,0.01,0.01,0.43,8,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,0.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,371.0,13.0
1,16.0,831.9839999999999,2021,5,1.0,1.0,1.0,1124.0,4.0,0.01,0.01,0.21,0.74,0.01,0.01,0.01,0.01,0.01,0.01,3,0.0,0.435,0.34832799999999997,0.3818,1133.0,189844.0,73.0,0,1.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30187,375.0,8.0
2,16.0,831.9839999999999,2022,1,1.0,0.0,2.0,1124.0,10.0,0.0,0.0,0.44,0.43,0.0,0.0,0.0,0.1,0.0,0.0,1,0.0,0.53,0.34832799999999997,0.7964,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34333,362.0,13.0
2,16.0,831.9839999999999,2019,5,3.0,0.0,1.0,1124.0,24.0,0.01,0.01,0.01,0.32,0.01,0.6,0.01,0.01,0.01,0.01,9,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,359.0,13.0
2,16.0,831.9839999999999,2023,1,1.0,1.0,1.0,1124.0,15.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.51,0.0,0,0.0,0.65,0.34832799999999997,0.7906,1133.0,189844.0,73.0,0,1.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34275000000000005,360.0,14.0
8,16.0,831.9839999999999,2020,2,0.0,0.0,2.0,1124.0,21.0,0.01,0.01,0.34,0.62,0.01,0.01,0.01,0.01,0.01,0.01,3,0.0,0.623,0.34832799999999997,0.8519,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34888,364.0,14.0
