PO_post_type,PO_URL,PO_number_comments,PO_numbr_likes,PO_description,PO_number_view_count,Year,Month
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/209012907_952748068880277_1440030510270284973_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wYHnaVswg68AX9Y8P3X&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAhGSWOc97sGjybdsWI0UZ2GWT_pA8YRrXt26cz-bWk2A&oe=6453BD00&_nc_sid=86f79a,2687,78889,"Buckle up Singapore, here’s a brand new safety video to get everyone ready for a whole new normal! 

#TestTraceVaccinate

For more: igotmyshot.gov.sg (link in Bio)

Featuring @annettelee @yungraja @mingweirocks @marklee4444 and @siti__k !",2838036,2021,7
8,,318,12025,"“Things different already
But Singapore be steady
Stay clean and healthy
Just use your brain, use your brain” 🎶🎶🎶
.
Singapore’s Uncle Phua is back again to teach us how to don’t play play with COVID-19! 💥💥💥
.
Find out how we can practise personal hygiene and be socially responsible! 🧼🧼🧼
.
#SGUnited #SGClean #TogetherWeCanOverCome",0,2020,3
8,,128,7727,"“SARS is the virus that I just want to minus!”🎵🎵🎵
.
Guess who’s back, but this time to talk about COVID-19! 🦠🦠🦠
.
Watch the video to find out how we can take care of ourselves and look out for one another! Share the video, not the virus! ❤❤❤️
.
#SGUnited #TogetherWeCanOvercome",0,2020,2
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/255903674_896597274305423_8975985831560962100_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ZgDo-VXo5nQAX8oWs_o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCy3LzWqElxqzCpdd1F938-Z-s5gMHa_I94omDUxBFhSQ&oe=6453BF70&_nc_sid=86f79a,90,5553,"Featuring @aisyaah_aziz, @zolalfredo, @j_o_a_n_n_a_d_o_n_g and @shabirmusic's rendition of #WeWillGetThere, watch how our unsung heroes went above and beyond in this fight against COVID-19.",340558,2021,11
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/329550024_1523048758192679_6765581027319030236_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=NEmZAnXwjkYAX_ToKgS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDGR-e9oI6i8z8MDse2IcQJxghzZWy7xiCfMw5RrSOLBA&oe=6453E07D&_nc_sid=86f79a,35,5491,Can we fix it? Yes we can! Find your nearest Repair Kopitiam to give your old items a second life @repairkopitiam,228987,2023,2
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/183422379_228142819072126_776055800247338122_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=dm0ooxkE0RUAX9EQRZK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBNP9jzgCHSwkI3AZ1JB-Ggwmw7nVZ7PJsmPT9RrBVLbA&oe=6458478E&_nc_sid=86f79a,175,5306,"Dear @tantocksenghospital staff, we are with you! 

#SGUnited",0,2021,5
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/272381120_4648534425272605_2018688942804736675_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=J7MNsSTKcQoAX9NTroa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB39KsZ5R-IVy0YBjqczyDUm62sEgNt0RwbwmlDA1smQQ&oe=6454293A&_nc_sid=86f79a,73,4621,"Do celebrations have to be big to be meaningful? This 2022, let us celebrate Chinese New Year safely and thoughtfully with our loved ones. 🧧🍊 #TheVisitorList",628679,2022,1
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/60686853_169895150696301_3041494557190923275_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=bRMMdB5IJfcAX-HeYPD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAi_GDH_JdGcQQM7QMW5BgDwJNi-HRKuWE6Xd5sHgPo_A&oe=645457C6&_nc_sid=86f79a,69,4193,"Hari Raya - a time when relatives get together and seek forgiveness. But for the singles, it’s THE time to silat away the typical house visiting questions. Can you relate? Watch the full video on IGTV today!

#hariraya #selamathariraya #aidilfitri2019",189526,2019,5
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/325994383_861419221854046_8074003306040804754_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=qKkvk0rhj5AAX9f7efK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC6A0RcAhNIPp8wnDo39fRTm-wnVXab1LfAECJPlw7vng&oe=64541C06&_nc_sid=86f79a,42,4052,"Great food with an even better story 🥹 Full story: go.gov.sg/mts-stephen-suriyah-2 #MeetTheSingaporean

@theoriginalvadai

Watch the full series at go.gov.sg/outandabout (link in bio)",355099,2023,1
8,,16,3998,"Feeling sniffly? 🤧 Got a cough coming on?  Head to your nearest Public Health Preparedness Clinic to get your flu-like symptoms treated! 😷

Here's everything you need to know about PHPCs and the subsidies you'll enjoy. Go to phpc.gov.sg for more information.",0,2020,2
