description,hashtag,tag_accounts,description_Emoji,description_Language,description_Translated,clean_text,Hobby,Skincare_Treatment,Work_Event,Fitness,Lifestyle_Health,Shop_Business_Advertisement,Beauty_Makeup,Travel_Celebrations,Food,Life_Happiness,dominant_topic,polarity,neg,neu,pos,compound
"Buckle up Singapore, here’s a brand new safety video to get everyone ready for a whole new normal! 

#TestTraceVaccinate

For more: igotmyshot.gov.sg (link in Bio)

Featuring @annettelee @yungraja @mingweirocks @marklee4444 and @siti__k !",#TestTraceVaccinate,@annettelee @yungraja @mingweirocks @marklee4444 @siti__k,,en,"Buckle up Singapore, heres a brand new safety video to get everyone ready for a whole new normal! 

#TestTraceVaccinate

For more: igotmyshot.gov.sg (link in Bio)

Featuring @annettelee @yungraja @mingweirocks @marklee4444 and @siti__k !",buckl singapor here brand  safeti video  everyon readi whole  normal testtracevaccin igotmyshot   link  featur ,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.28,3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"“Things different already
But Singapore be steady
Stay clean and healthy
Just use your brain, use your brain” 🎶🎶🎶
.
Singapore’s Uncle Phua is back again to teach us how to don’t play play with COVID-19! 💥💥💥
.
Find out how we can practise personal hygiene and be socially responsible! 🧼🧼🧼
.
#SGUnited #SGClean #TogetherWeCanOverCome",#SGUnited #SGClean #TogetherWeCanOverCome,,"musical notes, soap, collision",en,"Things different already
But Singapore be steady
Stay clean and healthy
Just use your brain, use your brain 
.
Singapores Uncle Phua is back again to teach us how to dont play play with COVID-19! 
.
Find out how we can practise personal hygiene and be socially responsible! 
.
#SGUnited #SGClean #TogetherWeCanOverCome",thing differ alreadi singapor steadi stay clean healthi  brain  brain singapor uncl phua back teach  dont play play covid  find practis person hygien social respons sgunit sgclean togetherwecanovercom,0.0,0.03,0.32,0.58,0.0,0.0,0.0,0.05,0.0,0.0,3,"{'neg': 0.128, 'neu': 0.787, 'pos': 0.085, 'compound': -0.0956}",0.128,0.787,0.085,-0.0956
"“SARS is the virus that I just want to minus!”🎵🎵🎵
.
Guess who’s back, but this time to talk about COVID-19! 🦠🦠🦠
.
Watch the video to find out how we can take care of ourselves and look out for one another! Share the video, not the virus! ❤❤❤️
.
#SGUnited #TogetherWeCanOvercome",#SGUnited #TogetherWeCanOvercome,,"red heart, microbe, red heart, musical note",en,"SARS is the virus that I just want to minus!
.
Guess whos back, but this time to talk about COVID-19! 
.
Watch the video to find out how we can take care of ourselves and look out for one another! Share the video, not the virus! 
.
#SGUnited #TogetherWeCanOvercome",sar viru want minu guess who back time talk covid  watch video find take care look  anoth share video viru sgunit togetherwecanovercom,0.0,0.0,0.0,0.43,0.19,0.35,0.0,0.0,0.0,0.0,3,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.6908}",0.0,0.739,0.261,0.6908
"Featuring @aisyaah_aziz, @zolalfredo, @j_o_a_n_n_a_d_o_n_g and @shabirmusic's rendition of #WeWillGetThere, watch how our unsung heroes went above and beyond in this fight against COVID-19.",#WeWillGetThere,@aisyaah_aziz @zolalfredo @j_o_a_n_n_a_d_o_n_g @shabirmusic,,en,"Featuring @aisyaah_aziz, @zolalfredo, @j_o_a_n_n_a_d_o_n_g and @shabirmusic's rendition of #WeWillGetThere, watch how our unsung heroes went above and beyond in this fight against COVID-19.",featur  rendit wewillgetther watch unsung hero went beyond fight covid  ,0.0,0.0,0.19,0.51,0.0,0.26,0.0,0.0,0.0,0.0,3,"{'neg': 0.183, 'neu': 0.563, 'pos': 0.254, 'compound': 0.25}",0.183,0.563,0.254,0.25
Can we fix it? Yes we can! Find your nearest Repair Kopitiam to give your old items a second life @repairkopitiam,,@repairkopitiam,,en,Can we fix it? Yes we can! Find your nearest Repair Kopitiam to give your old items a second life @repairkopitiam,    find nearest repair kopitiam give  item second life,0.01,0.01,0.01,0.25,0.01,0.28,0.01,0.01,0.01,0.43,8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Dear @tantocksenghospital staff, we are with you! 

#SGUnited",#SGUnited,@tantocksenghospital,,en,"Dear @tantocksenghospital staff, we are with you! 

#SGUnited",dear staff  sgunit,0.01,0.01,0.21,0.74,0.01,0.01,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.3818}",0.0,0.435,0.565,0.3818
"Do celebrations have to be big to be meaningful? This 2022, let us celebrate Chinese New Year safely and thoughtfully with our loved ones. 🧧🍊 #TheVisitorList",#TheVisitorList,,"red envelope, tangerine",en,"Do celebrations have to be big to be meaningful? This 2022, let us celebrate Chinese New Year safely and thoughtfully with our loved ones.  #TheVisitorList",celebr  meaning    celebr chines  year safe thought love one thevisitorlist,0.0,0.0,0.44,0.43,0.0,0.0,0.0,0.1,0.0,0.0,1,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",0.0,0.53,0.47,0.7964
"Hari Raya - a time when relatives get together and seek forgiveness. But for the singles, it’s THE time to silat away the typical house visiting questions. Can you relate? Watch the full video on IGTV today!

#hariraya #selamathariraya #aidilfitri2019",#hariraya #selamathariraya #aidilfitri2019,,,en,"Hari Raya - a time when relatives get together and seek forgiveness. But for the singles, its THE time to silat away the typical house visiting questions. Can you relate? Watch the full video on IGTV today!

#hariraya #selamathariraya #aidilfitri2019",hari raya time rel  togeth seek forgiv singl time silat away typic hous visit question relat watch full video igtv today hariraya selamathariraya aidilfitri,0.01,0.01,0.01,0.32,0.01,0.6,0.01,0.01,0.01,0.01,9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Great food with an even better story 🥹 Full story: go.gov.sg/mts-stephen-suriyah-2 #MeetTheSingaporean

@theoriginalvadai

Watch the full series at go.gov.sg/outandabout (link in bio)",#MeetTheSingaporean,@theoriginalvadai,,en,"Great food with an even better story  Full story: go.gov.sg/mts-stephen-suriyah-2 #MeetTheSingaporean

@theoriginalvadai

Watch the full series at go.gov.sg/outandabout (link in bio)",great food even better stori full stori     stephen suriyah  meetthesingaporean watch full seri    outandabout link  ,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.51,0.0,0,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7906}",0.0,0.65,0.35,0.7906
"Feeling sniffly? 🤧 Got a cough coming on?  Head to your nearest Public Health Preparedness Clinic to get your flu-like symptoms treated! 😷

Here's everything you need to know about PHPCs and the subsidies you'll enjoy. Go to phpc.gov.sg for more information.",,,"sneezing face, face with medical mask",en,"Feeling sniffly?  Got a cough coming on?  Head to your nearest Public Health Preparedness Clinic to get your flu-like symptoms treated! 

Here's everything you need to know about PHPCs and the subsidies you'll enjoy. Go to phpc.gov.sg for more information.",feel sniffli  cough come  head nearest public health prepared clinic   like symptom treat  everyth need know phpc subsidi enjoy  phpc   inform ,0.01,0.01,0.34,0.62,0.01,0.01,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}",0.0,0.623,0.377,0.8519
