,PO_dominant_topic,PO_tag_accounts,Impressions
75,Fitness,@thesaltsuitelakeworth,1.38515414920893
85,Fitness,@isptproperty,1.0399914227511526
224,Fitness,@lorisrubatto,2.751251266619584
225,Fitness,@swiss_classic_and_supercar,2.751251266619584
238,Fitness,@holycannolicleveland,2.3783185840707963
239,Fitness,@totally_sweet_baking,2.3783185840707963
240,Fitness,@anjaparson,1.732758777432317
242,Fitness,@alex,4.611689351481185
306,Fitness,@matchesfashion,0.17248530254053734
307,Fitness,@chimme,0.08428899082568807
308,Fitness,@edecasaofficial,1.2185273585413563
322,Fitness,@underarmourph,0.4411652465182723
323,Fitness,@ericaabello,0.40494397703029644
324,Fitness,@aidelacruz,0.40494397703029644
326,Fitness,@swingleft,0.5704236962136616
439,Fitness,@clem_gourgues,0.8145620022753128
447,Fitness,@twobetchesonefork,4.555555555555555
448,Fitness,@eatingnewyork,4.555555555555555
449,Fitness,@munchin,4.555555555555555
450,Fitness,@munchin,4.555555555555555
474,Fitness,@costacoffee,4.761904761904762
475,Fitness,@thebodyinmotion,1.8217765852280752
476,Fitness,@isaacpena_movement,1.8217765852280752
477,Fitness,@warriorbridgenyc,1.8217765852280752
478,Fitness,@dtufino_photo,1.8217765852280752
479,Fitness,@yugenpatrick,5.905685323931247
480,Fitness,@paatrickmozo,5.905685323931247
761,Fitness,@labcdumaquillage,7.142857142857143
762,Fitness,@peggerandthehat,5.607476635514018
810,Fitness,@everywomanbiennial,2.6496116948378257
811,Fitness,@iamfinley,2.6496116948378257
812,Fitness,@assal,2.6496116948378257
813,Fitness,@everywomanbiennial,2.512562814070352
814,Fitness,@iamfinley,2.512562814070352
815,Fitness,@assal,2.512562814070352
816,Fitness,@mickalenethomas,2.512562814070352
817,Fitness,@marilynminter,2.512562814070352
818,Fitness,@swoonhq,2.512562814070352
819,Fitness,@bettytompkinsart,2.512562814070352
820,Fitness,@debkass,2.512562814070352
821,Fitness,@jaynecounty666,2.512562814070352
822,Fitness,@neostrata,5.473776033147966
823,Fitness,@redken,1.8711018711018712
824,Fitness,@redken,1.8711018711018712
825,Fitness,@amygrace087,1.8711018711018712
851,Fitness,@jessrdrummond,0.7893852872018811
852,Fitness,@integrativewomenshealth,0.7893852872018811
862,Fitness,@ета,3.4554537885095753
863,Fitness,@sbimagin,6.5366187542778915
905,Fitness,@theater_aan_de_parade,1.470798569725864
906,Fitness,@kurkino,8.074981975486661
910,Fitness,@juliagrand,4.982817869415808
911,Fitness,@darya,4.982817869415808
912,Fitness,@fitnationru,4.982817869415808
913,Fitness,@reebok_russia,4.982817869415808
1000,Fitness,@thegirlonthebike_,8.312128922815946
1001,Fitness,@ashleyroseweber,8.312128922815946
1002,Fitness,@sarahbednarmakeup,8.312128922815946
1003,Fitness,@surinametouragent,1.386138613861386
1103,Fitness,@gerryvisco,0.55561729081009
1104,Fitness,@zachbowensstudios,0.55561729081009
1109,Fitness,@gerryvisco,3.322591399044338
1455,Fitness,@anastasiabeverlyhills,27.44763760350706
1456,Fitness,@benefitcosmeticsuk,27.44763760350706
1457,Fitness,@shopvioletvoss,27.44763760350706
1458,Fitness,@soapandglory,27.44763760350706
1459,Fitness,@lillylashes,27.44763760350706
1460,Fitness,@fentybeauty,27.44763760350706
1461,Fitness,@narsissist,27.44763760350706
1462,Fitness,@lauramercier,27.44763760350706
1463,Fitness,@maccosmeticsuk,27.44763760350706
1464,Fitness,@kevynaucoin,27.44763760350706
1465,Fitness,@milanicosmetics,27.44763760350706
1466,Fitness,@anastasiabeverlyhills,27.44763760350706
1467,Fitness,@urbandecaycosmetics,27.44763760350706
1468,Fitness,@maccosmetics,27.44763760350706
1469,Fitness,@marcjacobsbeauty,27.44763760350706
1636,Fitness,@lauradalava,3.82333184057322
1637,Fitness,@jimmy_rims_tires,3.82333184057322
1638,Fitness,@Blackvueofficial,3.82333184057322
1639,Fitness,@WaxGods,3.82333184057322
1640,Fitness,@oraclelights,3.82333184057322
1641,Fitness,@mishimoto,3.82333184057322
1642,Fitness,@wurtzite_official,3.82333184057322
1643,Fitness,@Anthony_cupzTuned,3.82333184057322
1644,Fitness,@Rk,3.82333184057322
1645,Fitness,@thisisjlaw,14.996964177292046
1682,Fitness,@legacysoundworldsound,0.31890660592255127
1683,Fitness,@djfireloco,0.31890660592255127
1684,Fitness,@kchype_aka_turnupking,0.31890660592255127
1685,Fitness,@kmuongkhoth,10.294117647058824
1692,Fitness,@cafechato,0.21304815514918593
1693,Fitness,@liketoknow,0.7932669052916707
1903,Fitness,@ItsAmyCastleI,2.2335142547767672
1904,Fitness,@kathysandersmusic,2.2335142547767672
1976,Fitness,@chefcosme,1.2468827930174564
1977,Fitness,@casaenrique,1.2468827930174564
2034,Fitness,@dentraveler,1.6736930860033727
2035,Fitness,@_vse,7.607573149741825
2036,Fitness,@FoxBrowStudio,7.607573149741825
2098,Fitness,@charles,5.2631578947368425
2147,Fitness,@sausagedogcentral,24.89154398691416
2148,Fitness,@dachshundappreciation,24.89154398691416
2149,Fitness,@dachshund_corner,24.89154398691416
2150,Fitness,@dachshundsofinstagram,24.89154398691416
2151,Fitness,@dachshund_collective,24.89154398691416
2152,Fitness,@pawsomedachshunds,24.89154398691416
2153,Fitness,@dachshundrock,24.89154398691416
2154,Fitness,@dachshundsunited,24.89154398691416
