,PO_dominant_topic,PO_tag_accounts,Impressions
0,Food,@gappyranks1,1.6031195840554593
2,Food,@iloveanchor,13.748657357679914
3,Food,@dakine,13.748657357679914
4,Food,@delimobil,13.748657357679914
5,Food,@jukeboxtrio,13.748657357679914
6,Food,@nadinastrid,13.748657357679914
7,Food,@thealistphotographers,3.222049689440994
8,Food,@georgie_tunny,3.222049689440994
9,Food,@wilvalor,3.222049689440994
10,Food,@graememurraynz,1.5799610899667005
11,Food,@f1,1.5799610899667005
12,Food,@redbullracing,1.5799610899667005
13,Food,@redbullau,1.5799610899667005
14,Food,@redbull,1.5799610899667005
15,Food,@danielricciardo,1.5799610899667005
67,Food,@imstephlec,11.11111111111111
79,Food,@bangbangrc,0.9948702005285248
80,Food,@thesaltsuitelakeworth,1.1006190982427615
81,Food,@thesoupplace,0.26378965829535816
82,Food,@grahamdenholm,0.26378965829535816
84,Food,@madamebrusselslane,0.5232666791253971
100,Food,@colcacchio,1.6506602641056423
101,Food,@lukediva_,1.6506602641056423
102,Food,@themightyandthemercy,1.6506602641056423
103,Food,@jordynoshtims,6.137449467107681
104,Food,@inkandhoneytattoos,6.137449467107681
105,Food,@bam_cases,6.9073783359497645
106,Food,@jennnlocked,6.9073783359497645
115,Food,@johnkapetaneas,0.9689551858226557
116,Food,@nightline,0.9689551858226557
126,Food,@therealuschi,2.7197477335435556
127,Food,@erdmuthe,2.7197477335435556
201,Food,@izzaizelan,0.1581982092439522
202,Food,@onairtalents,0.1581982092439522
203,Food,@yasmeenmohammadi,2.013177159590044
204,Food,@heymantalentagency,2.013177159590044
205,Food,@porcelain_kween,2.013177159590044
206,Food,@sinkler_115,2.013177159590044
207,Food,@messypothair,2.013177159590044
208,Food,@masalazone,19.55719557195572
209,Food,@lauren,3.45900439238653
210,Food,@nvmodels,3.45900439238653
211,Food,@makeupbysummer1,3.45900439238653
212,Food,@terimakeup,2.3058516423754623
213,Food,@terimakeup,2.3058516423754623
214,Food,@fullerhouse,2.3058516423754623
215,Food,@netflix,2.3058516423754623
216,Food,@jodiesweetin,2.3058516423754623
217,Food,@juanpablodipace,2.3058516423754623
218,Food,@hagenboo,2.3058516423754623
219,Food,@360curated,3.4401149522441044
229,Food,@spinrs2k,4.520795660036167
230,Food,@macovanch,0.45762979327757614
241,Food,@areskifinals,1.348923274960444
249,Food,@claudikow,5.5563115163060735
250,Food,@kounlavongchitpasong,6.666666666666667
251,Food,@danymizrachi,1.9285042333019755
252,Food,@zeckel123,20.45123726346434
253,Food,@bo_royal,2.19435736677116
254,Food,@nbcphiladelphia,2.2444118724807622
255,Food,@boathouseconshy,2.2444118724807622
256,Food,@karllagerfeld,1.5051740357478833
259,Food,@_,6.694560669456067
260,Food,@melila29_,6.694560669456067
261,Food,@ole__op,13.167259786476869
262,Food,@miraclekilly,13.167259786476869
263,Food,@cojib,13.167259786476869
264,Food,@_,7.252440725244073
265,Food,@kblock43,4.036073715854137
266,Food,@prestiszeditz,10.909090909090908
267,Food,@daria,10.909090909090908
268,Food,@satanvxv,10.909090909090908
269,Food,@starcooshipper,10.909090909090908
299,Food,@thegentlebarn,11.742424242424242
303,Food,@jacwisdom,2.55797779684372
304,Food,@clarkoceans,1.9923371647509578
319,Food,@brittanyoc5,12.761714855433699
327,Food,@thelovemagazine,5.814576634512326
328,Food,@philpoynter,5.814576634512326
329,Food,@tabithasimmons,5.814576634512326
330,Food,@therealofficialfrankbHair,5.814576634512326
331,Food,@benskervin,5.814576634512326
332,Food,@rockstarnailgrl,5.814576634512326
333,Food,@bitton,5.814576634512326
334,Food,@taylorhornestudio,5.814576634512326
335,Food,@mhs_artists,5.814576634512326
336,Food,@stachemob,5.814576634512326
337,Food,@shavand,5.814576634512326
338,Food,@carlyvonne,5.814576634512326
339,Food,@serlinassociates,5.814576634512326
340,Food,@hookstudiobk,5.814576634512326
341,Food,@chameleoncolor,5.814576634512326
342,Food,@real_achok,5.814576634512326
343,Food,@guineverevanseenus,5.814576634512326
344,Food,@haileybaldwin,5.814576634512326
354,Food,@same_panurut,10.987124463519313
355,Food,@standupniteroi,2.7656809320777946
356,Food,@shok_1,2.6980829605550793
357,Food,@bally,2.6980829605550793
359,Food,@holidaylettings,2.9490444443895534
360,Food,@garethlthomson,1.5265292698969524
376,Food,@moreincommon_batleyandspen,10.90047393364929
