,PO_dominant_topic,PO_tag_accounts,Impressions
89,Hobby,@artofthisworld__,5.447298494242693
90,Hobby,@glitchcovenworks,5.447298494242693
91,Hobby,@culturecorps,5.447298494242693
92,Hobby,@culturelabwpb,5.447298494242693
222,Hobby,@fiaworldrx,0.856695427887125
223,Hobby,@mjpracingteamaustria,0.856695427887125
346,Hobby,@blinkist,1.4279532669839896
347,Hobby,@audible,1.4279532669839896
348,Hobby,@masterclass,1.4279532669839896
349,Hobby,@harvard_business_review,1.4279532669839896
350,Hobby,@coursera,1.4279532669839896
369,Hobby,@forbiddentattoo_nc,0.30730296456977585
370,Hobby,@worldfamousink,0.30730296456977585
371,Hobby,@electrumstencilproducts,0.30730296456977585
372,Hobby,@genestllc,0.30730296456977585
373,Hobby,@vitalitreetattoo,0.30730296456977585
374,Hobby,@newtritionsavvy,26.56875834445928
375,Hobby,@theheroranchkitchen,26.56875834445928
388,Hobby,@sarahisasparrow,4.279600570613409
573,Hobby,@grandbazaarnyc,8.235294117647058
574,Hobby,@sharibayer,1.0715729882733522
575,Hobby,@joesstonecrab,1.0715729882733522
576,Hobby,@heritage_radio,1.0715729882733522
607,Hobby,@satan_o_vision,0.8220786846741045
747,Hobby,@skydiveempuriabrava,21.993957703927492
748,Hobby,@trevorproject,1.041694729563476
871,Hobby,@johnricardo508,2.965022006022701
872,Hobby,@maiseltv,4.044117647058823
873,Hobby,@pseudocinema,4.044117647058823
874,Hobby,@joshroth21,4.044117647058823
879,Hobby,@lvrs,0.8367473139058514
880,Hobby,@kajabeauty,11.764705882352942
881,Hobby,@sephora,11.764705882352942
882,Hobby,@sc,11.764705882352942
883,Hobby,@beautycounter,11.764705882352942
884,Hobby,@beautycon,11.764705882352942
885,Hobby,@beautyblender,11.764705882352942
886,Hobby,@beautyby_julie_,11.764705882352942
887,Hobby,@beautylish,11.764705882352942
1054,Hobby,@forever21,2.3367892409455284
1184,Hobby,@adesinaoyenuga,4.426463588767254
1185,Hobby,@thedapperdonna,6.426491501320512
1418,Hobby,@jaro_london,12.515337423312884
1419,Hobby,@karelrak_p,12.515337423312884
1420,Hobby,@muacosmetics,12.515337423312884
1421,Hobby,@anastasiabeverlyhills,12.515337423312884
1422,Hobby,@plouise_makeup_academy,12.515337423312884
1423,Hobby,@makeuprevolution,12.515337423312884
1424,Hobby,@makeupbytammi,12.515337423312884
1425,Hobby,@glamglowuk,12.515337423312884
1426,Hobby,@makeuprevolutionczsk,12.515337423312884
1427,Hobby,@makeuprevolution,12.515337423312884
1428,Hobby,@makeuprevolution,12.515337423312884
1429,Hobby,@makeuprevolution,12.515337423312884
1430,Hobby,@beautybakeriemakeup,12.515337423312884
1431,Hobby,@makeuprevolution,12.515337423312884
1432,Hobby,@makeuprevolution,12.515337423312884
1433,Hobby,@makeuprevolution,12.515337423312884
