,PO_dominant_topic,PO_tag_accounts,Impressions
16,Life_Happiness,@extremaoutdoorbelgium,1.6566982624805284
17,Life_Happiness,@junction_2,1.6566982624805284
18,Life_Happiness,@parklife_festival,1.6566982624805284
40,Life_Happiness,@ctdiscgolfstore,9.684947491248542
41,Life_Happiness,@picturagallery,21.896792189679218
42,Life_Happiness,@farrentals,21.896792189679218
43,Life_Happiness,@adamtrentmagic,16.564892061580803
44,Life_Happiness,@youngslumdog,16.564892061580803
45,Life_Happiness,@_elsieandbert_,14.791666666666666
74,Life_Happiness,@thesaltsuitelakeworth,1.6321680945531862
76,Life_Happiness,@bangbangrc,0.23431996894901025
77,Life_Happiness,@carmenzammit,0.23431996894901025
78,Life_Happiness,@thesaltsuitelakeworth,1.1287599274591957
83,Life_Happiness,@lifecoffeefood,0.9986815494478616
86,Life_Happiness,@kbroddd,2.6200873362445414
87,Life_Happiness,@ioannapantazopoulou,0.5539651837524178
88,Life_Happiness,@culturelabwpb,0.5539651837524178
97,Life_Happiness,@idriselba,1.4647137150466045
98,Life_Happiness,@sanai_monaye_,5.34288074910493
99,Life_Happiness,@mymainevent,5.34288074910493
109,Life_Happiness,@itsbenniblack,3.574708389873487
135,Life_Happiness,@lnovoaz,4.106280193236715
136,Life_Happiness,@valeria,1.6568975861909816
137,Life_Happiness,@elizabethmua,1.6568975861909816
138,Life_Happiness,@constanzaoquendo,1.6568975861909816
139,Life_Happiness,@manuelhphoto,1.6568975861909816
140,Life_Happiness,@itsmiguelmaza,1.6568975861909816
145,Life_Happiness,@geramita,20.80536912751678
147,Life_Happiness,@melodylilas,5.176470588235294
150,Life_Happiness,@melodylilas,4.705882352941177
161,Life_Happiness,@FashionNova,1.5717182228067126
162,Life_Happiness,@lmodelz,44.40559440559441
163,Life_Happiness,@stevenbrokaw,44.40559440559441
164,Life_Happiness,@lmodelz,44.40559440559441
170,Life_Happiness,@rbnfdz,0.9955498838388797
171,Life_Happiness,@casey,2.049780380673499
172,Life_Happiness,@twisterethan,2.049780380673499
191,Life_Happiness,@hudsontarlow,0.7338464292106677
192,Life_Happiness,@wes_omar,0.7338464292106677
193,Life_Happiness,@hudsontarlow,0.7338464292106677
194,Life_Happiness,@wes_omar,0.7338464292106677
195,Life_Happiness,@alexandrahepfinger,3.056368960468521
196,Life_Happiness,@jongregorymakeup,3.056368960468521
197,Life_Happiness,@megan,3.056368960468521
220,Life_Happiness,@studio26nyc,5.408271474019088
221,Life_Happiness,@fullerhouse,0.572608073972742
228,Life_Happiness,@onepiece,3.1722717829397187
231,Life_Happiness,@that,10.476190476190476
232,Life_Happiness,@littlericosidilarsen,3.9838934181745875
233,Life_Happiness,@earrings_by_sidorovatatiana,8.857142857142858
234,Life_Happiness,@earrings_by_sidorovatatiana,8.857142857142858
235,Life_Happiness,@LakewoodOhFire,2.765486725663717
258,Life_Happiness,@wisteriahomedecor,2.817745803357314
270,Life_Happiness,@fashionnova,5.445823927765237
271,Life_Happiness,@joesjeans,5.445823927765237
272,Life_Happiness,@marcjacobs,5.445823927765237
273,Life_Happiness,@girlbosstv,1.162499381912281
274,Life_Happiness,@girlboss,1.162499381912281
276,Life_Happiness,@viktor__baranov,12.31638418079096
277,Life_Happiness,@evaevil,4.317323259579061
278,Life_Happiness,@alyona_belik,4.317323259579061
279,Life_Happiness,@darling1982,0.23224349672189992
280,Life_Happiness,@girl_scientist,0.23224349672189992
281,Life_Happiness,@lemccafferty,0.23224349672189992
282,Life_Happiness,@southfamilylove,0.23224349672189992
283,Life_Happiness,@use,0.23224349672189992
309,Life_Happiness,@ruth_e_chapman,0.6325855093784479
310,Life_Happiness,@cancercantkilllove,0.18774935461159353
311,Life_Happiness,@beatthebomb,0.18774935461159353
312,Life_Happiness,@501auctions,0.18774935461159353
358,Life_Happiness,@lacoste,3.347223491575747
389,Life_Happiness,@kitachocolate,6.296851574212893
390,Life_Happiness,@allaroundireland,0.9875959834613113
391,Life_Happiness,@woodzart,11.715020198310686
392,Life_Happiness,@paradise_mcfee,11.715020198310686
399,Life_Happiness,@kitachocolate,4.6476761619190405
402,Life_Happiness,@artridercrafts,5.022488755622189
403,Life_Happiness,@susancareyjewelry,5.022488755622189
425,Life_Happiness,@sophiepinet,2.9216083309227656
426,Life_Happiness,@erykahbadu,4.63623395149786
427,Life_Happiness,@janellemonae,4.63623395149786
428,Life_Happiness,@missjillscott,4.63623395149786
429,Life_Happiness,@thesheertruth,4.63623395149786
430,Life_Happiness,@nicolebyer,4.63623395149786
431,Life_Happiness,@michelle,4.63623395149786
432,Life_Happiness,@provolonetaybron,4.63623395149786
433,Life_Happiness,@chiokenassor,4.63623395149786
434,Life_Happiness,@liketoknow,2.6567767108084075
435,Life_Happiness,@blueudechaffe,0.2592931579267181
436,Life_Happiness,@jmwestonofficial,0.2592931579267181
437,Life_Happiness,@lemontsaintmichel,0.2592931579267181
438,Life_Happiness,@yleniacuellar,0.7973825629108455
441,Life_Happiness,@parisfashionweek,0.848872956269214
442,Life_Happiness,@haley,9.31753167143441
443,Life_Happiness,@annamcerlain1,2.1739130434782608
444,Life_Happiness,@mariela,1.7952127659574468
445,Life_Happiness,@coffeenumber1,8.0
446,Life_Happiness,@twobetchesonefork,1.4370691847580168
451,Life_Happiness,@sanmatteocucina,12.418300653594772
452,Life_Happiness,@birra_antoniana,12.418300653594772
496,Life_Happiness,@solaireresort,0.3417129329538089
497,Life_Happiness,@germanclubmanila,0.3417129329538089
498,Life_Happiness,@guerlain,3.2185907791723625
499,Life_Happiness,@diorparfums,3.131601839194731
500,Life_Happiness,@diorbeautylovers,3.131601839194731
501,Life_Happiness,@binwoos,2.6467065868263475
502,Life_Happiness,@binwoos,2.6467065868263475
503,Life_Happiness,@assilahsaffa,14.628297362110311
541,Life_Happiness,@JW_Anderson,0.24256205234862263
542,Life_Happiness,@Jonathan,0.24256205234862263
543,Life_Happiness,@8and2,0.24256205234862263
561,Life_Happiness,@katyakulyzhka,2.1811750835134602
562,Life_Happiness,@collectivemag,2.1811750835134602
563,Life_Happiness,@erykaclayton,2.1811750835134602
564,Life_Happiness,@katkoncept,2.1811750835134602
565,Life_Happiness,@stephania_photography,2.1811750835134602
578,Life_Happiness,@joeydivi,2.572347266881029
634,Life_Happiness,@tinyatlasquarterly,4.316747611171395
636,Life_Happiness,@mcsteeezy_flee,5.904059040590406
637,Life_Happiness,@croulter,5.904059040590406
638,Life_Happiness,@clifflifemedia,5.904059040590406
639,Life_Happiness,@la_swim,5.904059040590406
645,Life_Happiness,@bettywhitesbigdaddy,14.258555133079849
646,Life_Happiness,@angelarobschild,14.258555133079849
647,Life_Happiness,@greenqueenclothing,4.2461551390873185
648,Life_Happiness,@deborahlindquist,4.2461551390873185
649,Life_Happiness,@anaeisenberg,4.2461551390873185
650,Life_Happiness,@naomi,20.53231939163498
651,Life_Happiness,@curioustravels,3.485254691689008
652,Life_Happiness,@little,3.485254691689008
653,Life_Happiness,@curious,3.485254691689008
654,Life_Happiness,@aurakozmetika,4.345438351170121
655,Life_Happiness,@aurakozmetika,4.345438351170121
657,Life_Happiness,@StarTrek,2.4489795918367347
658,Life_Happiness,@sirpatstew,2.4489795918367347
659,Life_Happiness,@startrekcbs,2.4489795918367347
660,Life_Happiness,@roddenberryofficial,2.4489795918367347
661,Life_Happiness,@cbstvstudios,2.4489795918367347
662,Life_Happiness,@cbshomeentertainment,2.4489795918367347
663,Life_Happiness,@ParamountMovies,2.4489795918367347
664,Life_Happiness,@CBSAllAccess,2.4489795918367347
665,Life_Happiness,@cbstv,2.4489795918367347
679,Life_Happiness,@ballet_yoga_girl,1.5113350125944585
681,Life_Happiness,@spleef_nyc,5.223880597014926
734,Life_Happiness,@purebarrehattiesburg,8.536585365853659
735,Life_Happiness,@otfhattiesburg,8.536585365853659
736,Life_Happiness,@dancebody,8.536585365853659
737,Life_Happiness,@soulcycle,8.536585365853659
738,Life_Happiness,@y7studio,8.536585365853659
739,Life_Happiness,@meganroup,8.536585365853659
740,Life_Happiness,@newyorkpilates,8.536585365853659
741,Life_Happiness,@Sam_dancebody,8.536585365853659
742,Life_Happiness,@OneDapperStreet,0.8277906304222094
743,Life_Happiness,@sephora,3.8180341186027618
744,Life_Happiness,@deciem,3.8180341186027618
749,Life_Happiness,@thisiscathal,8.04162724692526
750,Life_Happiness,@bhytes,0.7760597330824858
751,Life_Happiness,@oddlyyvie,0.7760597330824858
752,Life_Happiness,@adoptolderdogs,0.7760597330824858
753,Life_Happiness,@juicebeauty,1.8284437650655536
764,Life_Happiness,@sonia_loses_lbs,33.00970873786408
765,Life_Happiness,@zannavandijk,33.00970873786408
766,Life_Happiness,@yogawithadriene,33.00970873786408
767,Life_Happiness,@nessagetshealthy2019,33.00970873786408
768,Life_Happiness,@floordeboor_fit,33.00970873786408
769,Life_Happiness,@my,33.00970873786408
770,Life_Happiness,@anniesweightlossjourney86,33.00970873786408
771,Life_Happiness,@barber,3.77632410459615
772,Life_Happiness,@peggerandthehat,6.542056074766355
773,Life_Happiness,@joshi,2.4193548387096775
774,Life_Happiness,@wale,2.4193548387096775
775,Life_Happiness,@jadapinkettsmith,2.4193548387096775
776,Life_Happiness,@redtabletalk,2.4193548387096775
777,Life_Happiness,@serenadaria,7.44920993227991
827,Life_Happiness,@spiceholidaymarket,1.9587804462612843
833,Life_Happiness,@fashionnova,5.092373282804358
834,Life_Happiness,@spiceholidaymarket,14.521452145214521
936,Life_Happiness,@stateline,11.470728224654927
937,Life_Happiness,@sorelleandco,19.135802469135804
938,Life_Happiness,@sorelleandco,16.06268364348678
939,Life_Happiness,@liketoknow,3.47779018234717
940,Life_Happiness,@lunchboxwax,6.0344827586206895
944,Life_Happiness,@1,3.842504743833017
960,Life_Happiness,@shaylahoangg,7.192575406032483
961,Life_Happiness,@theriversiderealtygroup,3.0603060306030603
973,Life_Happiness,@theriversiderealtygroup,2.25022502250225
975,Life_Happiness,@ey_global,2.8450340187768446
976,Life_Happiness,@garbomanagement,2.8450340187768446
977,Life_Happiness,@thewestportconnection,1.8796992481203008
978,Life_Happiness,@theriversiderealtygroup,1.8796992481203008
1021,Life_Happiness,@laurenkiefphotography,1.9572953736654803
1022,Life_Happiness,@braverman2,6.361085126286249
1023,Life_Happiness,@gindesigngroup,6.361085126286249
1024,Life_Happiness,@nowfe,6.361085126286249
1025,Life_Happiness,@sookenewsmirror,3.425266903914591
1026,Life_Happiness,@hometownheroesbc,3.425266903914591
1027,Life_Happiness,@nowfe,2.0583611711534684
1028,Life_Happiness,@bordeauxwines,2.0583611711534684
1029,Life_Happiness,@breakinboundariesnyc,4.387096774193548
1030,Life_Happiness,@laurenkiefphotography,3.380782918149466
1043,Life_Happiness,@nowfe,4.3343653250774
1044,Life_Happiness,@fivestringgarage,13.461538461538462
1045,Life_Happiness,@laurenkiefphotography,2.802491103202847
1049,Life_Happiness,@f45_training,4.320987654320987
1050,Life_Happiness,@laurenkiefphotography,1.9572953736654803
1055,Life_Happiness,@5thandmad,1.567132570944515
1064,Life_Happiness,@_sarahfav,2.327393910075519
1068,Life_Happiness,@josieoutlaw1,7.10920356266942
1069,Life_Happiness,@barnetfairhair,7.10920356266942
1070,Life_Happiness,@punkrockjosh87,7.10920356266942
1081,Life_Happiness,@thewoolbrokers,5.05018013381369
1082,Life_Happiness,@buffbakecanada,1.433389544688027
1083,Life_Happiness,@sno,1.433389544688027
1102,Life_Happiness,@gerryvisco,0.9334370485609512
1105,Life_Happiness,@treadbyeverlane,4.182699159184837
1106,Life_Happiness,@adidaswomen,3.655408294142796
1107,Life_Happiness,@gerryvisco,1.6335148349816646
1108,Life_Happiness,@yandy,1.6335148349816646
1110,Life_Happiness,@djsqueakymonroe,0.40811121030480807
1111,Life_Happiness,@livlyfenyce,0.40811121030480807
1112,Life_Happiness,@livlyfe_entertainment,0.40811121030480807
1113,Life_Happiness,@squeakymonroepromo,0.40811121030480807
1114,Life_Happiness,@lilcease,0.40811121030480807
1115,Life_Happiness,@ninobrownjm4life,0.40811121030480807
1116,Life_Happiness,@tyanna810,0.40811121030480807
1117,Life_Happiness,@notoriouss_clothing,0.40811121030480807
1118,Life_Happiness,@comethinkbig,0.40811121030480807
1119,Life_Happiness,@livlyfe_entertainment,0.40811121030480807
1173,Life_Happiness,@localrootsnyc,5.699810006333122
1179,Life_Happiness,@firstbornunicornholio,19.09196740395809
1202,Life_Happiness,@juniperbistro,5.240793201133145
1241,Life_Happiness,@zarinahurtado,5.442176870748299
1242,Life_Happiness,@piazza_italia_pdx,0.612739841583026
1243,Life_Happiness,@peachyatoit,0.612739841583026
1254,Life_Happiness,@kristeneps,1.756007393715342
1255,Life_Happiness,@roencandles,9.859154929577464
1256,Life_Happiness,@roencandles,9.859154929577464
1257,Life_Happiness,@enrrs,9.859154929577464
1325,Life_Happiness,@londoncoffeefestival,33.91304347826087
1326,Life_Happiness,@KeepCup,33.91304347826087
1327,Life_Happiness,@kimar_91,0.828002842928216
1328,Life_Happiness,@yvesbachmann,0.34673045496530325
1351,Life_Happiness,@belleliddell,5.945945945945946
1370,Life_Happiness,@mainstreethare,2.1688053497198627
1372,Life_Happiness,@hannahpindelldesign,4.0241448692152915
1377,Life_Happiness,@hudabeauty,8.203330411919369
1378,Life_Happiness,@plouise_makeup_academy,8.203330411919369
1379,Life_Happiness,@makeuprevolution,8.203330411919369
1380,Life_Happiness,@elfcosmeticsuk,8.203330411919369
1381,Life_Happiness,@hudabeauty,8.203330411919369
1382,Life_Happiness,@milkmakeup,8.203330411919369
1383,Life_Happiness,@elfcosmetics,8.203330411919369
1384,Life_Happiness,@nipandfab,8.203330411919369
1385,Life_Happiness,@sephora,8.203330411919369
1386,Life_Happiness,@nipandfab,8.203330411919369
1387,Life_Happiness,@makeuprevolution,8.203330411919369
1388,Life_Happiness,@morphebrushes,8.203330411919369
1489,Life_Happiness,@bayway_j,1.681792219331091
1490,Life_Happiness,@marianaacrb,1.681792219331091
1491,Life_Happiness,@bayway_j,1.681792219331091
1492,Life_Happiness,@thegreta,0.20666230925295542
1493,Life_Happiness,@ko_ep,0.20666230925295542
1494,Life_Happiness,@hanjan,0.20666230925295542
1495,Life_Happiness,@markabramsonphoto,0.20666230925295542
1496,Life_Happiness,@Superstarangels,1.5772870662460567
1500,Life_Happiness,@visitauckland,4.106228209873886
1501,Life_Happiness,@purenewzealand,4.106228209873886
1502,Life_Happiness,@polene_paris,8.791208791208792
1503,Life_Happiness,@officialfederalandwolfe,3.576388888888889
1529,Life_Happiness,@rebekastowe,20.689655172413794
1530,Life_Happiness,@carolinadogsofficial,20.689655172413794
1535,Life_Happiness,@doggohudson,6.819392647842301
1536,Life_Happiness,@joetracz,6.819392647842301
1537,Life_Happiness,@georgesalazar,6.819392647842301
1538,Life_Happiness,@bemorechillmusical,6.819392647842301
1543,Life_Happiness,@latruccheriacherie,1.006994693680656
1544,Life_Happiness,@valep,1.006994693680656
1598,Life_Happiness,@kirstenkasper,8.904649330181245
1599,Life_Happiness,@gc2018,8.904649330181245
1601,Life_Happiness,@soft_scab,6.238185255198488
1602,Life_Happiness,@crusty_cuts,6.238185255198488
1609,Life_Happiness,@footstepsofreggae,9.056316590563165
1629,Life_Happiness,@nicholasgclark,12.485065710872162
1630,Life_Happiness,@usher,4.508039079929225
1631,Life_Happiness,@divasnheels,4.508039079929225
1632,Life_Happiness,@_forever_kinz,4.508039079929225
1650,Life_Happiness,@momsdemand,3.048780487804878
1651,Life_Happiness,@studentsdemand,3.048780487804878
1652,Life_Happiness,@Everytown,3.048780487804878
1670,Life_Happiness,@djfireloco,0.09111617312072894
1671,Life_Happiness,@Rene_love81,0.09111617312072894
1672,Life_Happiness,@saskiamuzik,0.09111617312072894
1673,Life_Happiness,@riablack1,0.09111617312072894
1674,Life_Happiness,@9PM,0.09111617312072894
1675,Life_Happiness,@legacysoundworldsound,0.09111617312072894
1676,Life_Happiness,@kchype_aka_turnupking,0.09111617312072894
1677,Life_Happiness,@darka_nyc,0.09111617312072894
1678,Life_Happiness,@djfireloco,0.09111617312072894
1679,Life_Happiness,@realrastagram,0.09111617312072894
1680,Life_Happiness,@djandre1212_official,0.09111617312072894
1681,Life_Happiness,@jahsunmovement,0.09111617312072894
1702,Life_Happiness,@tigerlilyperfumery,4.010266281681104
1703,Life_Happiness,@louandgrey,0.25200342724661057
1704,Life_Happiness,@hudsonlib,18.69158878504673
1705,Life_Happiness,@winedivas,0.49620477044388217
1708,Life_Happiness,@hudsonlib,5.269607843137255
1709,Life_Happiness,@gothlet,2.3843315356230486
1710,Life_Happiness,@unacasallamadadeseo,25.138121546961326
1717,Life_Happiness,@eda_kiseleva,15.51362683438155
1721,Life_Happiness,@valeriya_nail,0.3187481889307447
1722,Life_Happiness,@ethik_ecodesignhub,11.129296235679215
1769,Life_Happiness,@bezmuki,10.26086956521739
1778,Life_Happiness,@thelpcafe,3.056640625
1779,Life_Happiness,@florencedlee,8.347683476834769
1780,Life_Happiness,@realdominocoutureHair,8.347683476834769
1781,Life_Happiness,@gypsywigz,8.347683476834769
1782,Life_Happiness,@laducashoes,8.347683476834769
1783,Life_Happiness,@kosmetologiya,6.491063029162747
1784,Life_Happiness,@get_repost,6.491063029162747
1807,Life_Happiness,@snowbear_bakery,13.432835820895523
1810,Life_Happiness,@homestorericcione,0.8495684091642466
1811,Life_Happiness,@homestorepesaro,0.8495684091642466
1818,Life_Happiness,@rudkovskayaofficial,1.1472513914786826
1819,Life_Happiness,@plushenkoofficial,1.1472513914786826
1820,Life_Happiness,@valeriya,1.1472513914786826
1897,Life_Happiness,@scottbankstattoo,14.518518518518519
1898,Life_Happiness,@sacredtraditiontattoo,14.518518518518519
1905,Life_Happiness,@lesserevilsnacks,4.239948183946988
1914,Life_Happiness,@rickyshucks,1.634033858382858
1934,Life_Happiness,@victoriawalthamstow,1.9801980198019802
1935,Life_Happiness,@NatGeo,0.7288947371544703
1936,Life_Happiness,@natgeoparks,0.7288947371544703
1937,Life_Happiness,@mamatuta_am,1.4880952380952381
1940,Life_Happiness,@livewirepark,0.18688095683049896
1941,Life_Happiness,@gjorgiax_,13.059033989266547
1942,Life_Happiness,@mandala_permanent,1.3694124164675738
1959,Life_Happiness,@altoatacama,0.429174986064324
1960,Life_Happiness,@liftthelabelapparel,1.186610042468149
1961,Life_Happiness,@altoatacama,5.983772819472617
1962,Life_Happiness,@hannah_jo1224,14.285714285714286
1978,Life_Happiness,@zoescope_studio,1.3300083125519535
1993,Life_Happiness,@sousetsport,0.5824175824175825
1994,Life_Happiness,@carrieanneing,2.158168117638452
1995,Life_Happiness,@crepemasternyc,0.7963118189438391
1996,Life_Happiness,@fumicjewelrynail,0.7963118189438391
1997,Life_Happiness,@lady_scissorhands,2.4949540255662703
1998,Life_Happiness,@crepemasternyc,3.492433061699651
1999,Life_Happiness,@shelby_hawkshaw,11.616161616161616
2000,Life_Happiness,@crepemasternyc,0.22186193361208295
2026,Life_Happiness,@akshitan,4.761904761904762
2027,Life_Happiness,@publiclibrarysg,4.761904761904762
2028,Life_Happiness,@jon,4.761904761904762
2029,Life_Happiness,@straits_times,4.761904761904762
2030,Life_Happiness,@singlitstation,4.761904761904762
2032,Life_Happiness,@miss_mollys_milkshakes,0.7814535035165407
2037,Life_Happiness,@hempkitchen,1.4049328754292851
2038,Life_Happiness,@lensservice,0.7233796296296297
2042,Life_Happiness,@hempkitchen,2.3961910708710583
2078,Life_Happiness,@maeve40fitness,14.67304625199362
2079,Life_Happiness,@get_roped,14.67304625199362
2080,Life_Happiness,@becomingonewellness,14.67304625199362
2081,Life_Happiness,@marinagrandresort,14.67304625199362
2082,Life_Happiness,@luxewagon,14.67304625199362
2083,Life_Happiness,@carbon38,14.67304625199362
2084,Life_Happiness,@zaynabwithawhy,14.67304625199362
2085,Life_Happiness,@sirandmadame,14.67304625199362
2086,Life_Happiness,@neimanmarcusNOMINATION,14.67304625199362
2090,Life_Happiness,@spartanraceau,0.4301770078557219
2094,Life_Happiness,@jackdaviesss,8.322917115641568
2095,Life_Happiness,@frioshuntsville,1.663798049340218
2096,Life_Happiness,@marinagrandresort,2.661596958174905
2097,Life_Happiness,@frioshuntsville,1.2621916236374067
2110,Life_Happiness,@hozier,7.89461488553156
2111,Life_Happiness,@kilbycourt,7.89461488553156
2118,Life_Happiness,@lucietheviking,3.5077630822311674
2119,Life_Happiness,@ms_wanjala,0.07979908778166543
2130,Life_Happiness,@mosdefofficial,0.3704857810814239
2170,Life_Happiness,@hillandszrok,0.3344286519803232
2171,Life_Happiness,@keiferest,8.223844282238442
2172,Life_Happiness,@hillandszrok,0.9402914903620122
2173,Life_Happiness,@mr_pay_like_you_whey,1.5
2174,Life_Happiness,@hillandszrok,0.2764208268795425
2175,Life_Happiness,@thebcgnyc,4.476093591047813
2178,Life_Happiness,@stylesststudio,22.348484848484848
2179,Life_Happiness,@jeval_aus,18.309859154929576
2180,Life_Happiness,@blask_design,18.309859154929576
2181,Life_Happiness,@jess_dickinsonx,18.309859154929576
2189,Life_Happiness,@rayofmelbourne,1.807649399538244
