,PO_dominant_topic,PO_tag_accounts,Impressions
1,Skincare_Treatment,@riche,8.06057645334636
146,Skincare_Treatment,@sgi_school,6.055508830950378
422,Skincare_Treatment,@riche,3.996834190740008
423,Skincare_Treatment,@fcb_basketball,0.9293412186527643
424,Skincare_Treatment,@mhp_riesen,0.9293412186527643
861,Skincare_Treatment,@glowrecipe,2.355808285946385
1814,Skincare_Treatment,@solangedesigner,10.76158940397351
1815,Skincare_Treatment,@solangedesigner,5.4635761589403975
2346,Skincare_Treatment,@venetabuyuklieva,16.95906432748538
2347,Skincare_Treatment,@em,16.95906432748538
2348,Skincare_Treatment,@anothersteph,16.95906432748538
2660,Skincare_Treatment,@bykeekee,3.3936651583710407
2885,Skincare_Treatment,@sarahedenbernier,13.269493844049247
3193,Skincare_Treatment,@zoskinhealth,0.08671522719389525
3194,Skincare_Treatment,@ciaravino,0.5376344086021505
3195,Skincare_Treatment,@revisionskincare,0.5376344086021505
3314,Skincare_Treatment,@dougtrattner,0.6703031967346124
3315,Skincare_Treatment,@maryofmizzi,8.49802371541502
3316,Skincare_Treatment,@kissandmakeupct,8.49802371541502
3317,Skincare_Treatment,@mizzicosmetics,8.49802371541502
3552,Skincare_Treatment,@sherryfromsherryspickings,0.7293110722680972
3703,Skincare_Treatment,@visitoverlandpark,5.448154657293498
3704,Skincare_Treatment,@downtownbarrie,8.958333333333334
3705,Skincare_Treatment,@natcaronphoto,8.958333333333334
3709,Skincare_Treatment,@natcaronphoto,11.770833333333334
3710,Skincare_Treatment,@cacaohouston,1.5793010752688172
3711,Skincare_Treatment,@botticellofarms,11.857018308631211
3795,Skincare_Treatment,@camis_seguro,0.6247307195174494
3796,Skincare_Treatment,@sonicfieldday,2.623548166704623
3797,Skincare_Treatment,@gavfrontrow,2.623548166704623
3803,Skincare_Treatment,@lovevivianecastro,0.26928048255062476
3804,Skincare_Treatment,@spahomelife,0.26928048255062476
3805,Skincare_Treatment,@detoxpowerbr,0.26928048255062476
3806,Skincare_Treatment,@renataspahome,0.26928048255062476
3807,Skincare_Treatment,@tranquilizzeterapias,0.26928048255062476
3808,Skincare_Treatment,@lovevivianecastro,0.26928048255062476
3853,Skincare_Treatment,@mimbyjonesrobinsonart,0.4315087704157587
3910,Skincare_Treatment,@swavesevah,1.071602532878714
3911,Skincare_Treatment,@waydahblacc,1.071602532878714
3912,Skincare_Treatment,@probe_rok,1.071602532878714
4130,Skincare_Treatment,@kseniya_bereza,2.760936185554621
5066,Skincare_Treatment,@avenueqmusical,2.90519877675841
5067,Skincare_Treatment,@broadwayunderstudies,2.90519877675841
5068,Skincare_Treatment,@david,8.597108245408362
5197,Skincare_Treatment,@crushphotostudios,7.321371989860583
5198,Skincare_Treatment,@dawnmariehealthyandfit,7.321371989860583
5199,Skincare_Treatment,@nordstrom,7.321371989860583
5602,Skincare_Treatment,@elementbodylab,18.4799747713655
5635,Skincare_Treatment,@mypie_ldn,1.005251312828207
5760,Skincare_Treatment,@sandelmaria,0.1454623061672648
5761,Skincare_Treatment,@sjohnmo,0.1454623061672648
5762,Skincare_Treatment,@huntercodymiller,0.1454623061672648
5763,Skincare_Treatment,@milesaubrey,0.1454623061672648
5764,Skincare_Treatment,@tyramoses,8.823529411764707
5956,Skincare_Treatment,@dohanightclubnyc,0.3186888231277032
5957,Skincare_Treatment,@dohanightclubnyc,0.27316184839517416
5958,Skincare_Treatment,@imdjpereira,0.27316184839517416
5959,Skincare_Treatment,@djcisco,0.27316184839517416
5960,Skincare_Treatment,@djbashliveFor,0.27316184839517416
5970,Skincare_Treatment,@De,1.4486578610992757
5971,Skincare_Treatment,@dohanightclubnyc,0.4832585433206766
5972,Skincare_Treatment,@iamfrankroth,0.4832585433206766
