,PO_dominant_topic,PO_tag_accounts,Impressions
20,Travel_Celebrations,@larisacostea,0.3306737477610632
21,Travel_Celebrations,@adriansunriseinc,0.3306737477610632
26,Travel_Celebrations,@peacecafehawaii,13.919709501714747
27,Travel_Celebrations,@pdxcellentpants,0.27316058967298146
46,Travel_Celebrations,@siegelwines,0.06563605195286559
47,Travel_Celebrations,@bytqahnasir,0.20491803278688525
48,Travel_Celebrations,@babybitesnmunch,0.20491803278688525
50,Travel_Celebrations,@bnyjeansph,0.7927379867078447
51,Travel_Celebrations,@bnyjeansph,0.7927379867078447
52,Travel_Celebrations,@sofabph,0.7927379867078447
53,Travel_Celebrations,@mandrake80,1.9446953344661655
54,Travel_Celebrations,@rafaelmolinafotografo_oficial,8.391203703703704
55,Travel_Celebrations,@callumgrayphotos,8.391203703703704
56,Travel_Celebrations,@stucornell,8.391203703703704
57,Travel_Celebrations,@max,8.391203703703704
58,Travel_Celebrations,@chrisfletcherphotography,8.391203703703704
59,Travel_Celebrations,@sunsets,8.391203703703704
60,Travel_Celebrations,@brani,6.764352559063877
61,Travel_Celebrations,@inrhome,6.764352559063877
62,Travel_Celebrations,@dwest21,1.8991486574983627
63,Travel_Celebrations,@Laura,2.9305767719162947
64,Travel_Celebrations,@inrhome,2.9305767719162947
107,Travel_Celebrations,@fringearts,3.792134831460674
113,Travel_Celebrations,@willnashonair,0.2870457922463866
114,Travel_Celebrations,@timhortons,0.2870457922463866
117,Travel_Celebrations,@elle_loughan,6.242905788876277
128,Travel_Celebrations,@handmadebritain,0.4678727386150967
129,Travel_Celebrations,@waterperrygardens,0.4678727386150967
130,Travel_Celebrations,@goodmorningamerica,1.2068199810770628
141,Travel_Celebrations,@waterperrygardens,4.72972972972973
142,Travel_Celebrations,@_vd0x_,10.980810234541577
143,Travel_Celebrations,@liza___lizaa,10.980810234541577
151,Travel_Celebrations,@melodylilas,7.647058823529412
152,Travel_Celebrations,@syaafek,5.3826745164003365
158,Travel_Celebrations,@adede_naim,1.7661900756938604
159,Travel_Celebrations,@doctorracing,1.7661900756938604
198,Travel_Celebrations,@aujasmith,1.665446559297218
199,Travel_Celebrations,@seenmodel,1.665446559297218
200,Travel_Celebrations,@jongregorymakeup,1.665446559297218
237,Travel_Celebrations,@annastandish,6.738314568406687
275,Travel_Celebrations,@maria_tikhomirova_,0.8695652173913043
284,Travel_Celebrations,@thegentlebarn,4.493526275704493
325,Travel_Celebrations,@inoxia87,2.302452316076294
351,Travel_Celebrations,@streetsingingsuperstar,0.9179304839997098
352,Travel_Celebrations,@goproph,0.9179304839997098
365,Travel_Celebrations,@tattoosbybethanylackey,18.9419795221843
366,Travel_Celebrations,@volvocars,0.7134557285614688
367,Travel_Celebrations,@volvocarsaus,0.7134557285614688
368,Travel_Celebrations,@svarohg,14.954954954954955
379,Travel_Celebrations,@lukehooley,1.8950437317784257
380,Travel_Celebrations,@withrepost,9.90566037735849
381,Travel_Celebrations,@shiftportfolioshow,9.90566037735849
382,Travel_Celebrations,@christopherianpugh7,9.90566037735849
383,Travel_Celebrations,@openhausgiftsengraving,9.90566037735849
384,Travel_Celebrations,@jvalledesign,9.90566037735849
397,Travel_Celebrations,@nuimageevents,2.60968846843908
404,Travel_Celebrations,@eclecticsoiree,0.8584704448507008
405,Travel_Celebrations,@willdivide,0.41869802122168054
406,Travel_Celebrations,@essentiawater,0.41869802122168054
440,Travel_Celebrations,@personaldrivernewyork,10.307692307692308
471,Travel_Celebrations,@yurythefury,0.77103902209685
481,Travel_Celebrations,@sensual_movement,4.230938739532834
482,Travel_Celebrations,@arenal_oasis,3.8630377524143986
483,Travel_Celebrations,@mfollo,3.8630377524143986
484,Travel_Celebrations,@costaricacool,3.8630377524143986
485,Travel_Celebrations,@visit_costarica,3.8630377524143986
486,Travel_Celebrations,@sharonasc,3.8630377524143986
487,Travel_Celebrations,@costaricatraveler,3.8630377524143986
488,Travel_Celebrations,@monikita_1971,3.8630377524143986
489,Travel_Celebrations,@lioness_onyx_,3.8630377524143986
490,Travel_Celebrations,@british_mamabear,3.8630377524143986
491,Travel_Celebrations,@costaricainmypocket,3.8630377524143986
492,Travel_Celebrations,@suzannehuva,3.8630377524143986
493,Travel_Celebrations,@susieclare9,3.8630377524143986
494,Travel_Celebrations,@nancy,3.8630377524143986
507,Travel_Celebrations,@nickcannon,0.6724321239373869
508,Travel_Celebrations,@drlookg00d,1.9160926737633062
509,Travel_Celebrations,@theskinofny,1.9160926737633062
515,Travel_Celebrations,@beyondstudio_yoga_maly,1.5403705446921399
516,Travel_Celebrations,@mualilli,8.070175438596491
517,Travel_Celebrations,@jordanhanz,8.070175438596491
518,Travel_Celebrations,@lancome,8.070175438596491
519,Travel_Celebrations,@urbandecaycosmetics,8.070175438596491
520,Travel_Celebrations,@mehronmakeup,8.070175438596491
521,Travel_Celebrations,@katvondbeauty,8.070175438596491
522,Travel_Celebrations,@toofaced,8.070175438596491
523,Travel_Celebrations,@not,4.856512141280353
524,Travel_Celebrations,@sacredwaterslicCupping,4.856512141280353
528,Travel_Celebrations,@Vetements_Official,0.2975311973140702
529,Travel_Celebrations,@NicolasKuttler,0.2975311973140702
530,Travel_Celebrations,@vetements_official,3.6972699893131256
531,Travel_Celebrations,@natasupernova,3.6972699893131256
532,Travel_Celebrations,@germanlarkin,3.6972699893131256
535,Travel_Celebrations,@stefanopilati,1.811723891076296
536,Travel_Celebrations,@yilmazaktepestyle,1.811723891076296
537,Travel_Celebrations,@nytimesfashion,1.811723891076296
538,Travel_Celebrations,@leeoliveira,1.811723891076296
539,Travel_Celebrations,@dreamdry,8.831908831908832
540,Travel_Celebrations,@livecleanusa,8.831908831908832
589,Travel_Celebrations,@nessagetshealthy2019,27.184466019417474
599,Travel_Celebrations,@craigsbeds,3.2673661840881922
600,Travel_Celebrations,@nytarchives,2.257935980873954
635,Travel_Celebrations,@shania,28.337874659400544
641,Travel_Celebrations,@naomi,9.885931558935361
642,Travel_Celebrations,@greenqueenclothing,8.958736028237666
643,Travel_Celebrations,@deborahlindquist,8.958736028237666
644,Travel_Celebrations,@anaeisenberg,8.958736028237666
669,Travel_Celebrations,@wework,2.5346224196498564
746,Travel_Celebrations,@rel,1.8059035354759916
826,Travel_Celebrations,@villarnoir,1.7196904557179709
828,Travel_Celebrations,@fitnyc,9.174311926605505
829,Travel_Celebrations,@kendowningofficial,9.174311926605505
830,Travel_Celebrations,@spiceholidaymarket,13.75387797311272
831,Travel_Celebrations,@anoblehome,13.75387797311272
875,Travel_Celebrations,@emilyhawkes_,6.213176218532405
890,Travel_Celebrations,@cafechatlheureux,3.95738203957382
930,Travel_Celebrations,@stateline,9.281294621608758
931,Travel_Celebrations,@happilyyrayStyling,9.281294621608758
932,Travel_Celebrations,@carolynson,9.281294621608758
933,Travel_Celebrations,@joeycupelli,9.281294621608758
934,Travel_Celebrations,@taylormillerphoto,9.281294621608758
935,Travel_Celebrations,@sorelleandco,5.911330049261084
945,Travel_Celebrations,@waxingbayarea,9.976798143851509
946,Travel_Celebrations,@powerofshe925,9.976798143851509
962,Travel_Celebrations,@jewellparkerrhodes,2.842809364548495
981,Travel_Celebrations,@jacobryanpaul,2.2659511031604054
982,Travel_Celebrations,@northforkoysters,2.2659511031604054
990,Travel_Celebrations,@stalbertyuzen,35.84905660377358
991,Travel_Celebrations,@izakayatomo,35.84905660377358
997,Travel_Celebrations,@runningskirts,2.5122549019607843
998,Travel_Celebrations,@get_repost,2.5122549019607843
1077,Travel_Celebrations,@louisvuitton,1.3063165346547878
1078,Travel_Celebrations,@gallery,2.891566265060241
1079,Travel_Celebrations,@msmarypryor,2.891566265060241
1080,Travel_Celebrations,@broccoli_mag,2.891566265060241
1156,Travel_Celebrations,@trendy_pal,0.7339872537573157
1157,Travel_Celebrations,@ruesaintpaul,0.7339872537573157
1158,Travel_Celebrations,@trendy_pal,0.7339872537573157
1159,Travel_Celebrations,@ruesaintpaul,0.7339872537573157
1186,Travel_Celebrations,@ajones4567,0.9907529722589168
1203,Travel_Celebrations,@cocosandwichshoppe,1.148432777825749
1248,Travel_Celebrations,@uniwestminster,12.534818941504179
1249,Travel_Celebrations,@baselinemagazine,12.534818941504179
1250,Travel_Celebrations,@bagcd_uow,12.534818941504179
1306,Travel_Celebrations,@drunkelephant,7.502315529484409
1307,Travel_Celebrations,@rivas_nathan,7.502315529484409
1330,Travel_Celebrations,@rychaddphoto,2.6121357732536086
1335,Travel_Celebrations,@carsiemcDill,20.458015267175572
1336,Travel_Celebrations,@tina_yong,14.6875
1337,Travel_Celebrations,@veggieveganveda,0.2641392169049099
1338,Travel_Celebrations,@veggieveganveda,0.2641392169049099
1339,Travel_Celebrations,@naturhotelforsthofgut,4.476723419454697
1340,Travel_Celebrations,@chencheninsta,4.6875
1342,Travel_Celebrations,@vickyheiler,1.8430679954585594
1343,Travel_Celebrations,@mamaxanadu,13.20754716981132
1344,Travel_Celebrations,@chloeisidora,13.20754716981132
1345,Travel_Celebrations,@moyo_samantha,13.20754716981132
1346,Travel_Celebrations,@remindstudio,13.20754716981132
1347,Travel_Celebrations,@brooksandreas,13.20754716981132
1371,Travel_Celebrations,@mainstreethare,2.9940119760479043
1399,Travel_Celebrations,@thecrayoncase,10.482033304119193
1400,Travel_Celebrations,@stargazerproducts,10.482033304119193
1401,Travel_Celebrations,@diormakeup,10.482033304119193
1402,Travel_Celebrations,@flowerbeauty,10.482033304119193
1403,Travel_Celebrations,@jeffreestarcosmetics,10.482033304119193
1404,Travel_Celebrations,@patmcgrathreal,10.482033304119193
1405,Travel_Celebrations,@apepinophotography,10.482033304119193
1406,Travel_Celebrations,@ukhozi_fm,1.6086666837506085
1407,Travel_Celebrations,@mctshatha,1.6086666837506085
1408,Travel_Celebrations,@morphebrushes,50.46450482033304
1409,Travel_Celebrations,@makeuprevolution,50.46450482033304
